종목코드,종목명,현재가,대비,,등락률,대금(백만),기간수익률
'009150,삼성전기,"456,000",▲,"39,000","9.35%","376,528","5.07%"
'006400,삼성SDI,"438,500",▼,"-4,500","-1.02%","305,138","8.14%"
'373220,LG에너지솔루션,"398,500",▼,"-6,000","-1.48%","102,127","1.01%"
'096770,SK이노베이션,"118,200",▲,"2,700","2.34%","35,929","6.10%"
'078600,대주전자재료,"121,100",▲,"3,100","2.63%","29,790","-6.99%"
'457190,이수스페셜티케미컬,"92,400",▲,"1,300","1.43%","15,831","-2.12%"
'222080,씨아이에스,"11,670", ,"0","0%","11,418","-4.50%"
'281740,레이크머티리얼즈,"18,970",▼,"-60","-0.32%","8,428","-7.46%"
'020150,롯데에너지머티리얼즈,"40,450",▲,"1,200","3.06%","4,799","-3.92%"
'307180,아이엘,"5,050",▼,"-20","-0.39%","4,071","-0.59%"
'317330,덕산테코피아,"17,930",▲,"50","0.28%","3,424","12.91%"
'011500,한농화성,"20,500",▲,"400","1.99%","2,821","-2.38%"
'361610,SK아이이테크놀로지,"21,050",▼,"-150","-0.71%","2,529","-2.77%"
'059090,미코,"13,150",▼,"-70","-0.53%","2,433","-3.17%"
'278280,천보,"50,700",▲,"850","1.71%","2,045","-2.50%"
'025900,동화기업,"10,260",▼,"-140","-1.35%","1,403","-2.19%"
'267320,나인테크,"3,010",▲,"75","2.56%","1,204","-3.83%"
'131400,이브이첨단소재,"1,500",▲,"7","0.47%","1,103","1.69%"
'083930,아바코,"13,200",▲,"340","2.64%","1,092","-1.20%"
'299030,하나기술,"25,650",▲,"400","1.58%","948","-6.04%"
'413390,엠오티,"8,030",▲,"90","1.13%","459","-1.59%"
'055490,테이팩스,"16,050",▲,"330","2.10%","412","1.39%"
'049950,미래컴퍼니,"13,400",▲,"200","1.52%","400","-5.10%"
'282880,코윈테크,"13,900",▲,"300","2.21%","392","-1.70%"
'382840,원준,"8,400",▼,"-50","-0.59%","332","-5.51%"
'277880,티에스아이,"4,890",▲,"90","1.88%","280","-1.71%"
'294140,레몬,"3,165",▼,"-135","-4.09%","215","-8.53%"
'357550,석경에이티,"51,400",▲,"1,100","2.19%","182","-3.75%"
'452200,민테크,"2,340",▲,"85","3.77%","166","0.43%"
