종목코드,종목명,현재가,대비,,등락률,대금(백만),기간수익률
'062970,한국첨단소재,"3,575",↑,"825","30.00%","17,377","16.83%"
'010170,대한광통신,"12,740",▲,"2,620","25.89%","947,056","36.99%"
'088280,쏘닉스,"4,105",▲,"520","14.50%","16,057","1.48%"
'035460,기산텔레콤,"2,900",▲,"350","13.73%","3,690","4.13%"
'355150,코스텍시스,"25,000",▲,"2,400","10.62%","9,132","7.30%"
'095270,웨이브일렉트로,"5,850",▲,"560","10.59%","3,757","17.23%"
'073540,에프알텍,"3,065",▲,"245","8.69%","1,892","15.23%"
'050890,쏠리드,"16,300",▲,"1,230","8.16%","354,807","15.85%"
'073490,이노와이어리스,"44,500",▲,"2,900","6.97%","21,156","3.85%"
'065530,와이어블,"2,150",▲,"135","6.70%","18,768","3.12%"
'115440,우리넷,"11,250",▲,"640","6.03%","13,993","-18.42%"
'069410,엔텔스,"4,795",▲,"240","5.27%","189","1.05%"
'065440,이루온,"2,870",▲,"130","4.74%","47,886","15.26%"
'005930,삼성전자,"186,200",▲,"7,800","4.37%","3,744,696","3.62%"
'046970,우리로,"7,700",▲,"300","4.05%","162,706","-0.26%"
'017670,SK텔레콤,"80,900",▲,"3,100","3.98%","53,501","1.25%"
'175140,휴먼테크놀로지,"4,190",▲,"155","3.84%","1,093","5.41%"
'056360,코위버,"7,210",▲,"260","3.74%","4,247","3.00%"
'340360,다보링크,"1,640",▲,"59","3.73%","569","-3.53%"
'037460,삼지전자,"28,600",▲,"1,000","3.62%","18,684","11.72%"
'032500,케이엠더블유,"28,500",▲,"900","3.26%","13,456","-3.23%"
'218410,RFHIC,"89,000",▲,"2,600","3.01%","68,622","8.01%"
'060370,LS마린솔루션,"30,000",▲,"800","2.74%","17,138","5.63%"
'332570,PS일렉트로닉스,"5,140",▲,"130","2.59%","3,459","-3.20%"
'377330,이지트로닉스,"3,305",▲,"80","2.48%","56","5.76%"
'229640,LS에코에너지,"43,850",▲,"950","2.21%","5,045","-1.02%"
'088800,에이스테크,"4,000",▲,"85","2.17%","4,760","2.04%"
'061040,알에프텍,"1,554",▲,"33","2.17%","503","-7.77%"
'173130,오파스넷,"7,340",▲,"150","2.09%","519","-6.97%"
'069540,빛과전자,"3,250",▲,"65","2.04%","80,841","3.50%"
