종목코드,종목명,현재가,대비,,등락률,대금(백만),기간수익률
'000660,SK하이닉스,"876,000",▲,"46,000","5.54%","2,564,699","-4.99%"
'005930,삼성전자,"186,200",▲,"7,800","4.37%","3,744,696","3.62%"
'440110,파두,"50,500",▲,"1,250","2.54%","38,171","-3.63%"
'043650,국순당,"4,105",▲,"30","0.74%","117","-0.97%"
'394280,오픈엣지테크놀로지,"14,440",▲,"70","0.49%","1,710","-18.05%"
'432720,퀄리타스반도체,"14,180",▲,"60","0.42%","5,041","-8.34%"
'092870,엑시콘,"25,750", ,"0","0%","3,387","-8.69%"
'253590,네오셈,"14,660",▼,"-80","-0.54%","10,917","-11.53%"
'405100,큐알티,"15,100",▼,"-100","-0.66%","556","-10.07%"
'356860,티엘비,"65,500",▼,"-700","-1.06%","12,700","-10.40%"
'019680,대교,"1,556",▼,"-25","-1.58%","113","-5.01%"
'080580,오킨스전자,"18,820",▼,"-820","-4.18%","7,465","-9.08%"
'007810,코리아써키트,"68,000",▼,"-3,500","-4.90%","37,846","-19.05%"
,,"",,"","","",""
,,"",,"","","",""
,,"",,"","","",""
,,"",,"","","",""
,,"",,"","","",""
,,"",,"","","",""
