종목코드,종목명,현재가,대비,,등락률,대금(백만),기간수익률
'322000,HD현대에너지솔루션,"191,100",↑,"44,100","30.00%","590,664","55.11%"
'011930,신성이엔지,"3,445",▲,"695","25.27%","656,315","34.31%"
'475150,SK이터닉스,"68,200",▲,"13,200","24.00%","734,718","30.15%"
'388050,지투파워,"12,520",▲,"1,420","12.79%","53,273","11.89%"
'001820,삼화콘덴서,"56,900",▲,"3,200","5.96%","12,977","1.43%"
'259630,엠플러스,"13,050",▲,"720","5.84%","2,216","-3.05%"
'453450,그리드위즈,"22,950",▲,"1,250","5.76%","12,675","9.81%"
'282720,금양그린파워,"17,400",▲,"930","5.65%","30,648","18.61%"
'082920,비츠로셀,"40,650",▲,"1,950","5.04%","39,547","16.98%"
'125210,아모그린텍,"8,230",▲,"390","4.97%","1,686","14.94%"
'054090,삼진엘앤디,"1,041",▲,"36","3.58%","642","6.33%"
'130660,한전산업,"18,580",▲,"610","3.39%","4,769","-2.93%"
'089980,상아프론테크,"22,600",▲,"700","3.20%","1,770","-10.67%"
'047310,파워로직스,"4,570",▲,"140","3.16%","518","-3.89%"
'217820,원익피앤이,"2,970",▲,"85","2.95%","548","-3.10%"
'107640,한중엔시에스,"47,250",▲,"1,350","2.94%","8,846","-8.07%"
'009470,삼화전기,"35,600",▲,"900","2.59%","1,829","-3.00%"
'096770,SK이노베이션,"118,200",▲,"2,700","2.34%","35,929","6.10%"
'024900,디와이덕양,"1,945",▲,"40","2.10%","164","-2.70%"
'126340,비나텍,"119,000",▲,"2,300","1.97%","8,291","-1.73%"
'298040,효성중공업,"2,560,000",▲,"42,000","1.67%","70,349","-4.33%"
'241690,유니테크노,"3,565",▲,"55","1.57%","216","-3.39%"
'273640,와이엠텍,"7,100",▲,"110","1.57%","85","-2.47%"
'010120,LS ELECTRIC,"769,000",▲,"10,000","1.32%","76,373","-4.00%"
'022100,포스코DX,"30,500",▲,"350","1.16%","6,723","-0.16%"
'004490,세방전지,"60,300",▲,"500","0.84%","1,671","-0.33%"
'416180,신성에스티,"32,950",▲,"150","0.46%","787","-2.37%"
'267260,HD현대일렉트릭,"883,000",▲,"1,000","0.11%","73,071","-3.50%"
'106080,케이이엠텍,"330", ,"0","0%","0","0%"
'054210,이랜텍,"9,900", ,"0","0%","1,747","-8.08%"
