종목코드,종목명,현재가,대비,,등락률,대금(백만),기간수익률
'412350,레이저쎌,"9,020",▲,"1,590","21.40%","37,166","22.89%"
'306620,지아이에스,"2,995",▲,"100","3.45%","4,365","-0.17%"
'036930,주성엔지니어링,"62,200",▲,"1,400","2.30%","56,125","-11.14%"
'049950,미래컴퍼니,"13,400",▲,"200","1.52%","400","-5.10%"
'065130,탑엔지니어링,"3,035",▲,"25","0.83%","25","-1.14%"
'053610,프로텍,"52,500",▲,"100","0.19%","1,812","-4.37%"
'049080,기가레인,"2,045", ,"0","0%","0","89.53%"
'039030,이오테크닉스,"396,000",▼,"-1,500","-0.38%","27,184","-5.04%"
'122640,예스티,"18,940",▼,"-130","-0.68%","4,340","-8.94%"
'064760,티씨케이,"212,500",▼,"-3,000","-1.39%","17,220","-11.09%"
'131290,티에스이,"108,800",▼,"-3,000","-2.68%","7,746","-1.36%"
,,"",,"","","",""
,,"",,"","","",""
,,"",,"","","",""
,,"",,"","","",""
,,"",,"","","",""
,,"",,"","","",""
,,"",,"","","",""
,,"",,"","","",""
