종목코드,종목명,현재가,대비,,등락률,대금(백만),기간수익률
'017960,한국카본,"45,000",▲,"5,400","13.64%","47,845","11.11%"
'100840,SNT에너지,"52,100",▲,"5,200","11.09%","69,409","8.09%"
'329180,HD현대중공업,"479,500",▲,"40,500","9.23%","352,588","-3.81%"
'033500,동성화인텍,"25,850",▲,"2,150","9.07%","10,241","10.94%"
'097230,HJ중공업,"24,350",▲,"1,700","7.51%","32,093","-0.81%"
'009540,HD한국조선해양,"375,000",▲,"24,500","6.99%","100,153","2.18%"
'028670,팬오션,"5,260",▲,"335","6.80%","28,993","7.35%"
'100090,SK오션플랜트,"30,200",▲,"1,850","6.53%","304,134","12.48%"
'333430,일승,"5,640",▲,"330","6.21%","1,770","5.03%"
'082740,한화엔진,"45,700",▲,"2,350","5.42%","18,459","-2.04%"
'085310,엔케이,"1,117",▲,"54","5.08%","548","2.76%"
'096350,대창솔루션,"3,100",▲,"130","4.38%","3,570","-5.63%"
'010140,삼성중공업,"27,900",▲,"1,000","3.72%","123,836","7.31%"
'136150,원일티엔아이,"17,410",▲,"460","2.71%","676","-4.18%"
'005880,대한해운,"2,390",▲,"60","2.58%","38,423","3.24%"
'005490,POSCO홀딩스,"347,500",▲,"6,500","1.91%","123,947","1.31%"
'098070,한텍,"49,300",▲,"850","1.75%","16,669","7.41%"
'034730,SK,"312,500",▲,"4,500","1.46%","30,377","-6.44%"
'083650,비에이치아이,"92,500",▲,"1,300","1.43%","18,867","-2.43%"
'036460,한국가스공사,"34,650",▲,"300","0.87%","5,884","-2.12%"
'078930,GS,"63,300",▲,"500","0.80%","9,424","-6.77%"
'004690,삼천리,"137,400",▲,"500","0.37%","1,151","-6.66%"
'258610,케일럼,"1,477",▼,"-7","-0.47%","59","-1.34%"
'018670,SK가스,"256,000",▼,"-2,000","-0.78%","10,716","3.85%"
'071320,지역난방공사,"71,900",▼,"-1,100","-1.51%","1,818","-9.45%"
'015760,한국전력,"40,300",▼,"-950","-2.30%","151,870","-8.20%"
