종목코드,종목명,현재가,대비,,등락률,대금(백만),기간수익률
'009150,삼성전기,"456,000",▲,"39,000","9.35%","376,528","5.07%"
'001820,삼화콘덴서,"56,900",▲,"3,200","5.96%","12,977","1.43%"
'052710,아모텍,"15,560",▲,"610","4.08%","10,050","12.92%"
'306620,지아이에스,"2,995",▲,"100","3.45%","4,365","-0.17%"
'149950,아바텍,"9,960",▲,"330","3.43%","318","-1.48%"
'078600,대주전자재료,"121,100",▲,"3,100","2.63%","29,790","-6.99%"
'126730,코칩,"17,070",▲,"320","1.91%","863","-10.63%"
'320000,한울반도체,"1,462",▲,"17","1.18%","179","-11.39%"
'005070,코스모신소재,"51,200",▼,"-200","-0.39%","8,661","-0.97%"
'382840,원준,"8,400",▼,"-50","-0.59%","332","-5.51%"
,,"",,"","","",""
,,"",,"","","",""
,,"",,"","","",""
,,"",,"","","",""
,,"",,"","","",""
,,"",,"","","",""
,,"",,"","","",""
,,"",,"","","",""
,,"",,"","","",""
