종목코드,종목명,현재가,대비,,등락률,대금(백만),기간수익률
'083470,이엠앤아이,"1,376",▲,"296","27.41%","6,052","40.55%"
'115440,우리넷,"11,250",▲,"640","6.03%","13,993","-18.42%"
'094970,제이엠티,"3,235",▲,"155","5.03%","628","9.66%"
'187870,디바이스,"21,200",▲,"1,000","4.95%","1,487","-11.67%"
'005930,삼성전자,"186,200",▲,"7,800","4.37%","3,744,696","3.62%"
'079950,인베니아,"998",▲,"41","4.28%","161","-6.20%"
'475660,에스켐,"5,400",▲,"220","4.25%","61","1.69%"
'240810,원익IPS,"113,500",▲,"4,200","3.84%","32,991","-6.20%"
'143540,영우디에스피,"1,348",▲,"48","3.69%","567","4.74%"
'255440,야스,"10,690",▲,"370","3.59%","329","-5.23%"
'141000,비아트론,"10,120",▲,"350","3.58%","571","-0.49%"
'131760,파인텍,"612",▲,"21","3.55%","46","-7.97%"
'177350,베셀,"1,098",▲,"37","3.49%","411","-3.26%"
'250930,예선테크,"428",▲,"14","3.38%","213","2.15%"
'171090,선익시스템,"84,300",▲,"2,700","3.31%","13,314","-9.16%"
'089980,상아프론테크,"22,600",▲,"700","3.20%","1,770","-10.67%"
'171010,램테크놀러지,"3,135",▲,"95","3.13%","66","-5.14%"
'078150,HB테크놀러지,"2,135",▲,"60","2.89%","2,872","-2.95%"
'083930,아바코,"13,200",▲,"340","2.64%","1,092","-1.20%"
'0015G0,그린광학,"29,450",▲,"750","2.61%","4,008","-11.43%"
'267320,나인테크,"3,010",▲,"75","2.56%","1,204","-3.83%"
'321260,프로이천,"1,887",▲,"43","2.33%","2,269","15.55%"
'155650,와이엠씨,"3,530",▲,"80","2.32%","28","-0.14%"
'036930,주성엔지니어링,"62,200",▲,"1,400","2.30%","56,125","-11.14%"
'063760,이엘피,"2,930",▲,"65","2.27%","191","14.68%"
'054040,한국컴퓨터,"5,130",▲,"110","2.19%","240","-0.77%"
'040910,아이씨디,"5,220",▲,"100","1.95%","242","-6.62%"
'011690,와이투솔루션,"5,500",▲,"100","1.85%","1,226","-4.51%"
'278280,천보,"50,700",▲,"850","1.71%","2,045","-2.50%"
'457370,한켐,"7,760",▲,"120","1.57%","212","-7.07%"
