종목코드,종목명,현재가,대비,,등락률,대금(백만),기간수익률
'009150,삼성전기,"456,000",▲,"39,000","9.35%","376,528","5.07%"
'090460,비에이치,"22,950",▲,"1,700","8.00%","17,814","5.76%"
'015260,에이엔피,"644",▲,"43","7.15%","713","-4.17%"
'036010,아비코전자,"8,700",▲,"550","6.75%","1,233","-2.14%"
'125210,아모그린텍,"8,230",▲,"390","4.97%","1,686","14.94%"
'209640,와이제이링크,"4,330",▲,"170","4.09%","2,822","-7.18%"
'089980,상아프론테크,"22,600",▲,"700","3.20%","1,770","-10.67%"
'020150,롯데에너지머티리얼즈,"40,450",▲,"1,200","3.06%","4,799","-3.92%"
'168360,펨트론,"19,730",▲,"400","2.07%","1,559","-2.81%"
'082850,우리바이오,"1,848",▲,"33","1.82%","129","-3.45%"
'219130,타이거일렉,"27,450",▲,"400","1.48%","717","-6.47%"
'222800,심텍,"49,550",▲,"600","1.23%","17,518","-11.83%"
'353200,대덕전자,"81,200",▲,"900","1.12%","74,828","-4.92%"
'178920,PI첨단소재,"21,350",▲,"200","0.95%","3,115","-11.59%"
'025320,시노펙스,"5,860",▲,"50","0.86%","2,152","-0.34%"
'092300,현우산업,"3,035",▲,"25","0.83%","137","-4.56%"
'007660,이수페타시스,"102,600",▲,"800","0.79%","55,837","-7.15%"
'254120,자비스,"1,198",▲,"9","0.76%","47","0.59%"
'272290,이녹스첨단소재,"29,250",▲,"200","0.69%","3,856","-9.16%"
'323280,태성,"52,600",▲,"300","0.57%","11,798","-9.31%"
'131400,이브이첨단소재,"1,500",▲,"7","0.47%","1,103","1.69%"
'127980,화인써키트,"5,000",▲,"20","0.40%","16","-2.91%"
'085670,뉴프렉스,"5,360",▲,"10","0.19%","593","-3.42%"
'066900,디에이피,"1,432",▼,"-2","-0.14%","4","1.56%"
'251370,와이엠티,"15,580",▼,"-60","-0.38%","3,739","-5.86%"
'161580,필옵틱스,"37,450",▼,"-150","-0.40%","4,081","-5.19%"
'045300,성우테크론,"2,920",▼,"-15","-0.51%","62","-0.51%"
'051370,인터플렉스,"12,400",▼,"-70","-0.56%","1,490","-6.77%"
'356860,티엘비,"65,500",▼,"-700","-1.06%","12,700","-10.40%"
'085910,네오티스,"21,550",▼,"-500","-2.27%","2,709","-2.27%"
