종목코드,종목명,현재가,대비,,등락률,대금(백만),기간수익률
'010820,퍼스텍,"9,130",▲,"1,820","24.90%","121,704","27.87%"
'035460,기산텔레콤,"2,900",▲,"350","13.73%","3,690","4.13%"
'017960,한국카본,"45,000",▲,"5,400","13.64%","47,845","11.11%"
'079550,LIG넥스원,"860,000",▲,"76,000","9.69%","796,330","17.01%"
'272210,한화시스템,"135,400",▲,"6,200","4.80%","260,425","9.11%"
'274090,켄코아에어로스페이스,"19,540",▲,"830","4.44%","12,509","-16.67%"
'017670,SK텔레콤,"80,900",▲,"3,100","3.98%","53,501","1.25%"
'177350,베셀,"1,098",▲,"37","3.49%","411","-3.26%"
'306620,지아이에스,"2,995",▲,"100","3.45%","4,365","-0.17%"
'012450,한화에어로스페이스,"1,449,000",▲,"32,000","2.26%","280,460","8.54%"
'200880,서연이화,"13,140",▲,"280","2.18%","635","-4.64%"
'000720,현대건설,"151,100",▲,"2,300","1.55%","127,548","0.87%"
'005380,현대차,"471,000",▲,"5,500","1.18%","311,858","-4.85%"
'004270,남성,"750",▲,"6","0.81%","19","-0.66%"
'078930,GS,"63,300",▲,"500","0.80%","9,424","-6.77%"
'221840,하이즈항공,"2,540",▲,"15","0.59%","51","-6.27%"
'089590,제주항공,"5,040",▲,"20","0.40%","667","-2.33%"
'030200,KT,"59,500",▲,"100","0.17%","19,149","-2.14%"
'066590,스모트로닉,"2,605", ,"0","0%","317","-7.13%"
'035720,카카오,"45,200",▼,"-200","-0.44%","48,919","-7.38%"
'003490,대한항공,"23,000",▼,"-200","-0.86%","52,024","-9.09%"
'047810,한국항공우주,"182,600",▼,"-1,600","-0.87%","108,414","-2.09%"
'032640,LG유플러스,"15,330",▼,"-170","-1.10%","11,118","-4.78%"
'002350,넥센타이어,"7,080",▼,"-80","-1.12%","760","-3.93%"
'368770,파이버프로,"23,000",▼,"-550","-2.34%","49,268","9.00%"
