종목코드,종목명,현재가,대비,,등락률,대금(백만),기간수익률
'092790,넥스틸,"14,920",▲,"2,630","21.40%","88,149","31.22%"
'306200,세아제강,"147,600",▲,"11,100","8.13%","9,854","14.24%"
'005010,휴스틸,"6,090",▲,"400","7.03%","65,789","16.22%"
'100090,SK오션플랜트,"30,200",▲,"1,850","6.53%","304,134","12.48%"
'009730,이렘,"566",▲,"30","5.60%","13,756","1.07%"
'263770,유에스티,"1,965",▲,"75","3.97%","74","1.81%"
'071090,하이스틸,"3,715",▲,"135","3.77%","5,007","7.84%"
'146060,율촌,"1,491",▲,"52","3.61%","50","-1.84%"
'008970,KBI동양철관,"1,812",▲,"59","3.37%","10,586","6.09%"
'014280,금강공업,"4,865",▲,"130","2.75%","292","-0.82%"
'000970,한국주철관,"6,900",▲,"140","2.07%","425","2.22%"
,,"",,"","","",""
,,"",,"","","",""
,,"",,"","","",""
,,"",,"","","",""
,,"",,"","","",""
,,"",,"","","",""
,,"",,"","","",""
,,"",,"","","",""
