종목코드,종목명,현재가,대비,,등락률,대금(백만),기간수익률
'375500,DL이앤씨,"75,000",▲,"6,900","10.13%","227,427","13.98%"
'006360,GS건설,"27,250",▲,"1,050","4.01%","65,376","3.42%"
'047040,대우건설,"16,810",▲,"370","2.25%","564,641","-2.61%"
'000720,현대건설,"151,100",▲,"2,300","1.55%","127,548","0.87%"
'294870,HDC현대산업개발,"20,450",▲,"250","1.24%","5,442","-8.09%"
'028260,삼성물산,"263,000",▼,"-1,000","-0.38%","68,796","-2.23%"
,,"",,"","","",""
,,"",,"","","",""
,,"",,"","","",""
,,"",,"","","",""
,,"",,"","","",""
,,"",,"","","",""
,,"",,"","","",""
,,"",,"","","",""
,,"",,"","","",""
,,"",,"","","",""
,,"",,"","","",""
,,"",,"","","",""
,,"",,"","","",""
