종목코드,종목명,현재가,대비,,등락률,대금(백만),기간수익률
'053160,프리엠스,"8,980",▲,"1,000","12.53%","2,128","20.05%"
'036890,진성티이씨,"16,320",▲,"820","5.29%","2,727","1.94%"
'210540,디와이파워,"13,900",▲,"610","4.59%","1,060","3.12%"
'003010,혜인,"5,610",▲,"240","4.47%","547","2.94%"
'012210,삼미금속,"13,810",▲,"580","4.38%","3,590","10.48%"
'017550,수산세보틱스,"2,000",▲,"78","4.06%","694","4.66%"
'267270,HD건설기계,"146,100",▲,"5,600","3.99%","54,604","12.30%"
'317850,대모,"8,470",▲,"290","3.55%","553","-1.51%"
'020400,대동금속,"10,000",▲,"340","3.52%","4,407","6.61%"
'041440,현대에버다임,"8,580",▲,"270","3.25%","1,646","-0.81%"
'019770,서연탑메탈,"3,850",▲,"100","2.67%","106","-0.77%"
'010240,흥국,"5,300",▲,"130","2.51%","104","1.15%"
'109860,동일금속,"7,190",▲,"170","2.42%","53","0%"
'079900,전진건설로봇,"54,700",▲,"1,000","1.86%","2,955","2.05%"
'015230,대창단조,"6,730",▲,"80","1.20%","1,701","-0.88%"
'241560,두산밥캣,"60,600",▲,"600","1.00%","8,345","1.68%"
,,"",,"","","",""
,,"",,"","","",""
,,"",,"","","",""
