종목코드,종목명,현재가,대비,,등락률,대금(백만),기간수익률
'475150,SK이터닉스,"68,200",▲,"13,200","24.00%","734,718","30.15%"
'336260,두산퓨얼셀,"38,400",▲,"3,050","8.63%","26,742","0.66%"
'382900,범한퓨얼셀,"28,550",▲,"2,050","7.74%","1,910","1.42%"
'282720,금양그린파워,"17,400",▲,"930","5.65%","30,648","18.61%"
'417200,LS머트리얼즈,"20,900",▲,"1,040","5.24%","68,479","9.31%"
'089890,코세스,"22,600",▲,"600","2.73%","1,877","1.57%"
'452280,한선엔지니어링,"14,040",▲,"340","2.48%","5,197","3.08%"
'083650,비에이치아이,"92,500",▲,"1,300","1.43%","18,867","-2.43%"
'170920,엘티씨,"30,000", ,"0","0%","3,504","-11.63%"
'059090,미코,"13,150",▼,"-70","-0.53%","2,433","-3.17%"
'357580,아모센스,"18,590",▼,"-440","-2.31%","2,544","-3.83%"
,,"",,"","","",""
,,"",,"","","",""
,,"",,"","","",""
,,"",,"","","",""
,,"",,"","","",""
,,"",,"","","",""
,,"",,"","","",""
,,"",,"","","",""
