종목코드,종목명,현재가,대비,,등락률,대금(백만),기간수익률
'010820,퍼스텍,"9,130",▲,"1,820","24.90%","121,704","27.87%"
'035460,기산텔레콤,"2,900",▲,"350","13.73%","3,690","4.13%"
'079550,LIG넥스원,"860,000",▲,"76,000","9.69%","796,330","17.01%"
'096630,에스코넥,"815",▲,"69","9.25%","753","4.35%"
'475580,에이럭스,"13,680",▲,"980","7.72%","14,305","-2.29%"
'005870,휴니드,"9,280",▲,"580","6.67%","12,425","7.53%"
'033320,제이씨현시스템,"4,850",▲,"230","4.98%","1,335","-1.32%"
'272210,한화시스템,"135,400",▲,"6,200","4.80%","260,425","9.11%"
'424960,스마트레이더시스템,"6,800",▲,"310","4.78%","446","0.89%"
'077360,덕산하이메탈,"10,910",▲,"480","4.60%","7,607","-1.62%"
'274090,켄코아에어로스페이스,"19,540",▲,"830","4.44%","12,509","-16.67%"
'093520,매커스,"22,550",▲,"850","3.92%","680","-3.22%"
'097520,엠씨넥스,"21,900",▲,"800","3.79%","428","-0.90%"
'187220,디티앤씨,"3,030",▲,"110","3.77%","172","1.00%"
'177350,베셀,"1,098",▲,"37","3.49%","411","-3.26%"
'306620,지아이에스,"2,995",▲,"100","3.45%","4,365","-0.17%"
'051380,피씨디렉트,"2,175",▲,"70","3.33%","214","1.16%"
'023800,인지컨트롤스,"6,740",▲,"190","2.90%","294","-0.30%"
'012450,한화에어로스페이스,"1,449,000",▲,"32,000","2.26%","280,460","8.54%"
'204610,티쓰리,"2,545",▲,"55","2.21%","604","-10.39%"
'015710,코콤,"3,810",▲,"75","2.01%","146","-1.30%"
'093640,케이알엠,"4,230",▲,"55","1.32%","606","-15.40%"
'030200,KT,"59,500",▲,"100","0.17%","19,149","-2.14%"
'047080,한빛소프트,"1,321",▼,"-11","-0.83%","240","0.61%"
'003490,대한항공,"23,000",▼,"-200","-0.86%","52,024","-9.09%"
'047810,한국항공우주,"182,600",▼,"-1,600","-0.87%","108,414","-2.09%"
'054920,한컴위드,"4,790",▼,"-60","-1.24%","2,981","-8.41%"
'223310,사토시홀딩스,"1,460",▼,"-20","-1.35%","97","-2.60%"
'099320,쎄트렉아이,"167,400",▼,"-10,500","-5.90%","51,219","-11.00%"
