종목코드,종목명,현재가,대비,,등락률,대금(백만),기간수익률
'010820,퍼스텍,"9,130",▲,"1,820","24.90%","121,704","27.87%"
'079550,LIG넥스원,"860,000",▲,"76,000","9.69%","796,330","17.01%"
'437730,삼현,"52,900",▲,"2,800","5.59%","14,692","6.22%"
'119500,포메탈,"3,910",▲,"205","5.53%","341","-0.26%"
'000150,두산,"1,071,000",▲,"50,000","4.90%","52,693","-10.97%"
'484810,티엑스알로보틱스,"15,940",▲,"640","4.18%","1,684","5.91%"
'474650,링크솔루션,"60,600",▲,"2,000","3.41%","2,951","-2.57%"
'270660,에브리봇,"16,460",▲,"470","2.94%","490","-2.55%"
'413630,씨피시스템,"3,565",▲,"100","2.89%","434","-1.79%"
'024880,케이피에프,"5,250",▲,"140","2.74%","1,266","-20.45%"
'319400,현대무벡스,"27,300",▲,"650","2.44%","34,113","5.81%"
'391710,코닉오토메이션,"1,783",▲,"41","2.35%","146","-4.29%"
'012200,계양전기,"6,830",▲,"150","2.25%","23,483","12.71%"
'101170,우림피티에스,"12,590",▲,"260","2.11%","1,054","-5.05%"
'005850,에스엘,"55,200",▲,"1,000","1.85%","6,470","-7.69%"
'011690,와이투솔루션,"5,500",▲,"100","1.85%","1,226","-4.51%"
'084850,아이티엠반도체,"10,880",▲,"180","1.68%","693","-12.75%"
'217500,러셀,"2,550",▲,"40","1.59%","260","-3.41%"
'033530,SJG세종,"7,260",▲,"110","1.54%","645","-5.71%"
'006140,피제이전자,"6,390",▲,"90","1.43%","186","-3.03%"
'059270,해성에어로보틱스,"10,000",▲,"140","1.42%","628","-2.53%"
'090360,로보스타,"57,700",▲,"800","1.41%","1,736","-3.35%"
'317830,에스피시스템스,"9,330",▲,"130","1.41%","433","-4.70%"
'125490,한라캐스트,"13,990",▲,"190","1.38%","7,005","-9.57%"
'059120,아진엑스텍,"6,680",▲,"90","1.37%","1,347","-17.33%"
'048770,TPC,"3,015",▲,"40","1.34%","216","-3.83%"
'093640,케이알엠,"4,230",▲,"55","1.32%","606","-15.40%"
'000490,대동,"9,380",▲,"120","1.30%","1,145","-4.58%"
'389500,에스비비테크,"47,950",▲,"550","1.16%","3,005","-3.52%"
'049070,인탑스,"16,520",▲,"190","1.16%","443","-2.48%"
