종목코드,종목명,현재가,대비,,등락률,대금(백만),기간수익률
'017900,광전자,"4,455",↑,"1,025","29.88%","106,598","37.08%"
'418420,라온텍,"5,680",▲,"340","6.37%","927","-1.22%"
'005930,삼성전자,"186,200",▲,"7,800","4.37%","3,744,696","3.62%"
'143540,영우디에스피,"1,348",▲,"48","3.69%","567","4.74%"
'066310,큐에스아이,"10,960",▲,"300","2.81%","2,925","-7.35%"
'089890,코세스,"22,600",▲,"600","2.73%","1,877","1.57%"
'452430,사피엔반도체,"29,950",▲,"700","2.39%","1,029","-8.83%"
'008290,원풍물산,"368",▲,"8","2.22%","16","0.55%"
'066570,LG전자,"108,300",▼,"-500","-0.46%","47,930","-3.30%"
'038060,루멘스,"745",▼,"-4","-0.53%","164","2.05%"
'046890,서울반도체,"8,900",▼,"-80","-0.89%","2,260","-6.32%"
,,"",,"","","",""
,,"",,"","","",""
,,"",,"","","",""
,,"",,"","","",""
,,"",,"","","",""
,,"",,"","","",""
,,"",,"","","",""
,,"",,"","","",""
