종목코드,종목명,현재가,대비,,등락률,대금(백만),기간수익률
'109080,옵티시스,"12,880",▲,"2,290","21.62%","9,613","14.90%"
'096630,에스코넥,"815",▲,"69","9.25%","753","4.35%"
'276040,스코넥,"453",▲,"25","5.84%","1,427","-9.40%"
'189330,씨이랩,"4,565",▲,"195","4.46%","181","0.55%"
'340360,다보링크,"1,640",▲,"59","3.73%","569","-3.53%"
'171090,선익시스템,"84,300",▲,"2,700","3.31%","13,314","-9.16%"
'193250,링크드,"379",▲,"12","3.27%","57","5.57%"
'058630,엠게임,"5,100",▲,"155","3.13%","110","0.20%"
'038680,에스넷,"3,640",▲,"110","3.12%","1,357","-0.82%"
'206560,덱스터,"3,035",▲,"90","3.06%","84","-3.50%"
'066310,큐에스아이,"10,960",▲,"300","2.81%","2,925","-7.35%"
'089890,코세스,"22,600",▲,"600","2.73%","1,877","1.57%"
'052220,iMBC,"2,980",▲,"70","2.41%","178","-2.30%"
'438700,버넥트,"3,020",▲,"70","2.37%","35","-2.58%"
'347860,알체라,"1,820",▲,"39","2.19%","285","-1.46%"
'027830,대성창투,"1,477",▲,"30","2.07%","116","-3.59%"
'065370,위세아이텍,"4,770",▲,"95","2.03%","97","-4.22%"
'299900,위지윅스튜디오,"455",▲,"8","1.79%","77","-4.61%"
'059120,아진엑스텍,"6,680",▲,"90","1.37%","1,347","-17.33%"
'094360,칩스앤미디어,"15,450",▲,"190","1.25%","677","-8.25%"
'005380,현대차,"471,000",▲,"5,500","1.18%","311,858","-4.85%"
'201490,미투온,"2,790",▲,"30","1.09%","405","-6.53%"
'035420,NAVER,"197,500",▲,"1,700","0.87%","130,487","-7.06%"
'431190,케이쓰리아이,"4,060",▲,"30","0.74%","146","-2.64%"
'073110,엘엠에스,"5,140",▲,"30","0.59%","9","-0.96%"
'096240,크레버스,"10,560",▲,"60","0.57%","295","-6.96%"
'357880,SKAI,"3,105",▲,"15","0.49%","4,778","-20.18%"
'336060,웨이버스,"959",▲,"4","0.42%","195","-3.23%"
'291230,엔피,"744",▲,"2","0.27%","451","-2.87%"
'290520,신도기연,"2,110",▲,"5","0.24%","157","-14.57%"
