종목코드,종목명,현재가,대비,,등락률,대금(백만),기간수익률
'358570,지아이이노베이션,"12,530",▲,"920","7.92%","14,640","-14.65%"
'084990,헬릭스미스,"8,880",▲,"350","4.10%","8,344","10.86%"
'424870,이뮨온시아,"7,850",▲,"240","3.15%","3,649","-19.57%"
'215600,신라젠,"3,840",▲,"110","2.95%","17,406","-4.00%"
'095700,제넥신,"4,630",▲,"95","2.09%","488","-7.21%"
'308080,바이젠셀,"5,060",▲,"70","1.40%","789","-15.67%"
'001540,안국약품,"7,780",▲,"80","1.04%","122","-2.63%"
'293780,압타바이오,"6,950",▲,"70","1.02%","321","-7.95%"
'365270,큐라클,"13,990",▲,"110","0.79%","5,376","-11.68%"
'378800,샤페론,"1,657",▲,"12","0.73%","680","-6.49%"
'195990,에이비프로바이오,"1,371",▲,"9","0.66%","123","-0.15%"
'086890,이수앱지스,"4,465",▲,"25","0.56%","305","-7.17%"
'039200,오스코텍,"48,950",▲,"150","0.31%","10,469","-9.85%"
'028300,HLB,"51,100",▲,"100","0.20%","16,513","-4.13%"
'224060,더코디,"5,650",▲,"10","0.18%","418","6.60%"
'235980,메드팩토,"5,500",▲,"10","0.18%","640","-9.24%"
'291650,압타머사이언스,"1,941",▲,"1","0.05%","362","5.15%"
'144510,지씨셀,"22,900", ,"0","0%","707","-10.02%"
'000100,유한양행,"92,800",▼,"-100","-0.11%","11,854","-7.57%"
'397030,에이프릴바이오,"51,500",▼,"-100","-0.19%","9,090","-19.03%"
'323990,박셀바이오,"7,740",▼,"-40","-0.51%","584","-2.89%"
'299660,셀리드,"2,430",▼,"-20","-0.82%","367","-6.18%"
'170900,동아에스티,"43,450",▼,"-450","-1.03%","355","-5.23%"
'950220,네오이뮨텍,"510",▼,"-6","-1.16%","584","-5.90%"
'052020,에스티큐브,"15,920",▼,"-210","-1.30%","11,604","-18.40%"
'174900,앱클론,"56,300",▼,"-800","-1.40%","16,355","-21.59%"
'115180,큐리언트,"35,600",▼,"-550","-1.52%","8,680","-12.10%"
'0009K0,에임드바이오,"48,300",▼,"-850","-1.73%","8,769","-9.21%"
'085660,차바이오텍,"17,520",▼,"-310","-1.74%","6,668","-10.98%"
'298380,에이비엘바이오,"156,800",▼,"-3,000","-1.88%","72,323","-12.94%"
