종목코드,종목명,현재가,대비,,등락률,대금(백만),기간수익률
'278470,에이피알,"327,000",▼,"-12,500","-3.68%","50,628","0%"
'214450,파마리서치,"290,500",▼,"-2,000","-0.68%","18,379","-7.34%"
'000100,유한양행,"92,800",▼,"-100","-0.11%","11,854","-7.57%"
'145020,휴젤,"243,000", ,"0","0%","9,120","-6.36%"
'214150,클래시스,"52,700",▲,"400","0.76%","5,808","-2.41%"
'069620,대웅제약,"155,700",▼,"-3,400","-2.14%","5,207","-6.77%"
'483650,달바글로벌,"147,500",▲,"300","0.20%","5,172","-4.53%"
'200670,휴메딕스,"32,550",▼,"-450","-1.36%","2,819","-9.08%"
'336570,원텍,"6,900",▼,"-20","-0.29%","2,458","-3.90%"
'086900,메디톡스,"99,200",▼,"-300","-0.30%","1,891","-4.25%"
'084110,휴온스글로벌,"56,500",▲,"400","0.71%","1,690","-19.74%"
'216080,제테마,"7,640",▲,"370","5.09%","1,625","-6.14%"
'450950,아스테라시스,"10,160",▼,"-340","-3.24%","897","-9.61%"
'256840,한국비엔씨,"3,770",▲,"15","0.40%","773","-3.70%"
'240550,동방메디컬,"6,560",▲,"260","4.13%","596","-4.23%"
'462510,라메디텍,"4,710",▲,"105","2.28%","146","-2.28%"
'199550,레이저옵텍,"5,300",▲,"30","0.57%","137","-6.85%"
'219750,한국비티비,"951",▲,"6","0.63%","23","-1.65%"
,,"",,"","","",""
