종목코드,종목명,현재가,대비,,등락률,대금(백만),기간수익률
'226950,올릭스,"164,000",▼,"-14,800","-8.28%","73,575","-18.20%"
'128940,한미약품,"507,000",▲,"2,000","0.40%","24,387","-7.65%"
'237690,에스티팜,"138,100",▼,"-5,100","-3.56%","22,547","-13.31%"
'005690,파미셀,"14,940",▲,"30","0.20%","6,314","-11.70%"
'006280,녹십자,"140,600",▼,"-500","-0.35%","5,792","-6.89%"
'008930,한미사이언스,"37,600",▲,"500","1.35%","3,432","-2.08%"
'011000,진원생명과학,"868",▼,"-70","-7.46%","1,446","-10.61%"
'138610,나이벡,"25,700",▼,"-550","-2.10%","1,389","-11.23%"
'074430,아미노로직스,"1,429",▲,"32","2.29%","474","5.00%"
'102460,이연제약,"10,070",▲,"110","1.10%","335","-0.10%"
'348080,큐라티스,"926",▼,"-22","-2.32%","172","-10.10%"
'185490,아이진,"1,450", ,"0","0%","71","-4.92%"
'038070,서린바이오,"6,100", ,"0","0%","69","-4.69%"
,,"",,"","","",""
,,"",,"","","",""
,,"",,"","","",""
,,"",,"","","",""
,,"",,"","","",""
,,"",,"","","",""
