종목코드,종목명,현재가,대비,,등락률,대금(백만),기간수익률
'000250,삼천당제약,"648,000",▲,"39,000","6.40%","388,391","-41.67%"
'222110,팬젠,"5,250",▲,"290","5.85%","119","-4.55%"
'196170,알테오젠,"365,500",▲,"13,500","3.84%","160,907","-4.07%"
'067370,선바이오,"5,250",▲,"190","3.75%","65","-2.60%"
'334970,프레스티지바이오로직스,"2,380",▲,"30","1.28%","138","-3.45%"
'007460,에이프로젠,"304",▲,"3","1.00%","763","-9.79%"
'003850,보령,"9,130",▲,"90","1.00%","931","-5.39%"
'0126Z0,삼성에피스홀딩스,"498,000",▲,"4,500","0.91%","11,934","-6.21%"
'051910,LG화학,"304,500",▲,"2,500","0.83%","73,515","-2.72%"
'086890,이수앱지스,"4,465",▲,"25","0.56%","305","-7.17%"
'128940,한미약품,"507,000",▲,"2,000","0.40%","24,387","-7.65%"
'185750,종근당,"88,200",▲,"100","0.11%","1,493","-3.82%"
'950210,프레스티지바이오파마,"9,600",▼,"-30","-0.31%","457","-6.61%"
'006280,녹십자,"140,600",▼,"-500","-0.35%","5,792","-6.89%"
'068270,셀트리온,"195,300",▼,"-1,400","-0.71%","56,967","-5.19%"
'170900,동아에스티,"43,450",▼,"-450","-1.03%","355","-5.23%"
'068760,셀트리온제약,"54,500",▼,"-600","-1.09%","2,732","-6.84%"
'053030,바이넥스,"10,970",▼,"-200","-1.79%","1,911","-7.50%"
'069620,대웅제약,"155,700",▼,"-3,400","-2.14%","5,207","-6.77%"
'003060,에이프로젠바이오로직스,"267",▼,"-13","-4.64%","594","-12.46%"
'009420,한올바이오파마,"47,050",▼,"-7,350","-13.51%","84,574","-25.67%"
