종목코드,종목명,현재가,대비,,등락률,대금(백만),기간수익률
'412350,레이저쎌,"9,020",▲,"1,590","21.40%","37,166","22.89%"
'000660,SK하이닉스,"876,000",▲,"46,000","5.54%","2,564,699","-4.99%"
'086390,유니테스트,"16,100",▲,"780","5.09%","3,806","-6.34%"
'005930,삼성전자,"186,200",▲,"7,800","4.37%","3,744,696","3.62%"
'217190,제너셈,"5,310",▲,"190","3.71%","251","-9.08%"
'039440,에스티아이,"29,300",▲,"800","2.81%","2,459","-4.72%"
'112290,와이씨켐,"23,150",▲,"550","2.43%","1,105","-5.32%"
'220260,켐트로스,"5,190",▲,"120","2.37%","676","-1.70%"
'097800,윈팩,"404",▲,"9","2.28%","104","-2.65%"
'003160,디아이,"28,300",▲,"600","2.17%","6,234","-17.97%"
'322310,오로스테크놀로지,"29,500",▲,"600","2.08%","8,111","-5.60%"
'168360,펨트론,"19,730",▲,"400","2.07%","1,559","-2.81%"
'348210,넥스틴,"66,000",▲,"1,300","2.01%","5,652","-9.59%"
'042700,한미반도체,"260,000",▲,"4,000","1.56%","136,549","-5.63%"
'033160,엠케이전자,"18,100",▲,"260","1.46%","10,829","16.10%"
'110990,디아이티,"18,310",▲,"260","1.44%","1,232","-7.34%"
'451220,아이엠티,"11,680",▲,"160","1.39%","1,190","5.70%"
'307750,국전약품,"3,880",▲,"50","1.31%","1,806","-15.93%"
'489790,한화비전,"72,700",▲,"900","1.25%","22,745","-9.69%"
'089030,테크윙,"46,700",▲,"450","0.97%","27,166","-10.19%"
'098460,고영,"26,450",▲,"250","0.95%","23,477","-3.11%"
'232140,와이씨,"17,110",▲,"140","0.82%","9,747","-8.70%"
'424980,마이크로투나노,"11,830",▲,"80","0.68%","213","-4.29%"
'396470,워트,"6,760",▲,"40","0.60%","252","-4.38%"
'394280,오픈엣지테크놀로지,"14,440",▲,"70","0.49%","1,710","-18.05%"
'254490,미래반도체,"16,350",▲,"50","0.31%","994","-6.09%"
'079370,제우스,"14,580",▼,"-40","-0.27%","4,391","-8.30%"
'039030,이오테크닉스,"396,000",▼,"-1,500","-0.38%","27,184","-5.04%"
'281820,케이씨텍,"42,900",▼,"-250","-0.58%","3,778","-12.09%"
'405100,큐알티,"15,100",▼,"-100","-0.66%","556","-10.07%"
