종목코드,종목명,현재가,대비,,등락률,대금(백만),기간수익률
'000990,DB하이텍,"90,600",▲,"7,300","8.76%","38,462","8.11%"
'000660,SK하이닉스,"876,000",▲,"46,000","5.54%","2,564,699","-4.99%"
'005930,삼성전자,"186,200",▲,"7,800","4.37%","3,744,696","3.62%"
,,"",,"","","",""
,,"",,"","","",""
,,"",,"","","",""
,,"",,"","","",""
,,"",,"","","",""
,,"",,"","","",""
,,"",,"","","",""
,,"",,"","","",""
,,"",,"","","",""
,,"",,"","","",""
,,"",,"","","",""
,,"",,"","","",""
,,"",,"","","",""
,,"",,"","","",""
,,"",,"","","",""
,,"",,"","","",""
