종목코드,종목명,현재가,대비,,등락률,대금(백만),기간수익률
'330860,네패스아크,"26,150",▲,"1,250","5.02%","21,185","3.56%"
'005930,삼성전자,"186,200",▲,"7,800","4.37%","3,744,696","3.62%"
'033640,네패스,"19,010",▲,"410","2.20%","5,724","3.82%"
'389020,자람테크놀로지,"49,250",▲,"950","1.97%","7,780","-7.60%"
'445090,에이직랜드,"26,900",▲,"300","1.13%","571","-1.10%"
'394280,오픈엣지테크놀로지,"14,440",▲,"70","0.49%","1,710","-18.05%"
'092600,앤씨앤,"852",▼,"-14","-1.62%","821","13.45%"
,,"",,"","","",""
,,"",,"","","",""
,,"",,"","","",""
,,"",,"","","",""
,,"",,"","","",""
,,"",,"","","",""
,,"",,"","","",""
,,"",,"","","",""
,,"",,"","","",""
,,"",,"","","",""
,,"",,"","","",""
,,"",,"","","",""
