종목코드,종목명,현재가,대비,,등락률,대금(백만),기간수익률
'093370,후성,"8,920",▲,"1,980","28.53%","74,955","21.03%"
'425040,티이엠씨,"13,140",▲,"930","7.62%","46,959","31.66%"
'456040,OCI,"96,100",▲,"6,200","6.90%","8,099","2.45%"
'000150,두산,"1,071,000",▲,"50,000","4.90%","52,693","-10.97%"
'077360,덕산하이메탈,"10,910",▲,"480","4.60%","7,607","-1.62%"
'146320,비씨엔씨,"12,880",▲,"410","3.29%","320","-10.62%"
'171010,램테크놀러지,"3,135",▲,"95","3.13%","66","-5.14%"
'446540,메가터치,"4,160",▲,"120","2.97%","296","-1.42%"
'036810,에프에스티,"37,000",▲,"950","2.64%","3,447","-5.01%"
'031330,에스에이엠티,"5,090",▲,"130","2.62%","1,826","-2.86%"
'489500,엘케이켐,"32,000",▲,"800","2.56%","2,024","-3.03%"
'112290,와이씨켐,"23,150",▲,"550","2.43%","1,105","-5.32%"
'220260,켐트로스,"5,190",▲,"120","2.37%","676","-1.70%"
'311320,지오엘리먼트,"6,960",▲,"160","2.35%","128","0.87%"
'033640,네패스,"19,010",▲,"410","2.20%","5,724","3.82%"
'052900,KX하이텍,"1,079",▲,"22","2.08%","235","-6.74%"
'241790,티이엠씨씨엔에스,"7,440",▲,"150","2.06%","145","-0.80%"
'445180,퓨릿,"8,110",▲,"160","2.01%","305","-2.99%"
'482630,삼양엔씨켐,"15,550",▲,"290","1.90%","2,588","-4.95%"
'278280,천보,"50,700",▲,"850","1.71%","2,045","-2.50%"
'142210,유니트론텍,"5,130",▲,"80","1.58%","473","-2.47%"
'024850,HLB이노베이션,"4,620",▲,"70","1.54%","18,261","-4.45%"
'219130,타이거일렉,"27,450",▲,"400","1.48%","717","-6.47%"
'033160,엠케이전자,"18,100",▲,"260","1.46%","10,829","16.10%"
'307750,국전약품,"3,880",▲,"50","1.31%","1,806","-15.93%"
'144960,뉴파워프라즈마,"5,100",▲,"60","1.19%","804","-5.20%"
'092220,KEC,"1,580",▲,"15","0.96%","9,625","-12.37%"
'067310,하나마이크론,"28,900",▲,"250","0.87%","19,091","-7.07%"
'025320,시노펙스,"5,860",▲,"50","0.86%","2,152","-0.34%"
'043590,웰킵스하이텍,"670",▲,"5","0.75%","63","0.30%"
