종목코드,종목명,현재가,대비,,등락률,대금(백만),기간수익률
'011930,신성이엔지,"3,445",▲,"695","25.27%","656,315","34.31%"
'412350,레이저쎌,"9,020",▲,"1,590","21.40%","37,166","22.89%"
'058470,리노공업,"110,400",▲,"11,300","11.40%","99,107","5.24%"
'159010,아스플로,"5,760",▲,"410","7.66%","1,356","10.34%"
'323350,다원넥스뷰,"11,070",▲,"560","5.33%","882","-2.04%"
'086390,유니테스트,"16,100",▲,"780","5.09%","3,806","-6.34%"
'330860,네패스아크,"26,150",▲,"1,250","5.02%","21,185","3.56%"
'187870,디바이스,"21,200",▲,"1,000","4.95%","1,487","-11.67%"
'041520,이엘씨,"9,000",▲,"380","4.41%","245","1.12%"
'240810,원익IPS,"113,500",▲,"4,200","3.84%","32,991","-6.20%"
'217190,제너셈,"5,310",▲,"190","3.71%","251","-9.08%"
'306620,지아이에스,"2,995",▲,"100","3.45%","4,365","-0.17%"
'403870,HPSP,"42,000",▲,"1,150","2.82%","47,178","-6.98%"
'039440,에스티아이,"29,300",▲,"800","2.81%","2,459","-4.72%"
'089890,코세스,"22,600",▲,"600","2.73%","1,877","1.57%"
'081180,쎄크,"11,710",▲,"310","2.72%","752","-0.43%"
'212710,아이에스티이,"7,210",▲,"190","2.71%","273","-4.38%"
'036810,에프에스티,"37,000",▲,"950","2.64%","3,447","-5.01%"
'037350,성도이엔지,"9,340",▲,"240","2.64%","1,187","-8.52%"
'0015G0,그린광학,"29,450",▲,"750","2.61%","4,008","-11.43%"
'089790,제이티,"5,180",▲,"130","2.57%","205","-5.47%"
'348350,위드텍,"9,650",▲,"220","2.33%","169","-1.63%"
'321260,프로이천,"1,887",▲,"43","2.33%","2,269","15.55%"
'036930,주성엔지니어링,"62,200",▲,"1,400","2.30%","56,125","-11.14%"
'036540,SFA반도체,"6,420",▲,"140","2.23%","9,618","-2.13%"
'003160,디아이,"28,300",▲,"600","2.17%","6,234","-17.97%"
'322310,오로스테크놀로지,"29,500",▲,"600","2.08%","8,111","-5.60%"
'168360,펨트론,"19,730",▲,"400","2.07%","1,559","-2.81%"
'241790,티이엠씨씨엔에스,"7,440",▲,"150","2.06%","145","-0.80%"
'095610,테스,"59,900",▲,"1,200","2.04%","10,583","-1.64%"
