종목코드,종목명,현재가,대비,,등락률,대금(백만),기간수익률
'010170,대한광통신,"12,740",▲,"2,620","25.89%","947,056","36.99%"
'010820,퍼스텍,"9,130",▲,"1,820","24.90%","121,704","27.87%"
'474610,RF시스템즈,"12,150",▲,"1,520","14.30%","43,549","6.95%"
'035460,기산텔레콤,"2,900",▲,"350","13.73%","3,690","4.13%"
'077970,STX엔진,"36,200",▲,"4,350","13.66%","19,251","8.06%"
'327260,RF머트리얼즈,"76,400",▲,"7,500","10.89%","26,029","12.35%"
'095270,웨이브일렉트로,"5,850",▲,"560","10.59%","3,757","17.23%"
'095190,이엠코리아,"2,415",▲,"220","10.02%","1,273","6.86%"
'024740,한일단조,"3,230",▲,"290","9.86%","35,445","9.31%"
'010280,아이티센엔텍,"1,093",▲,"98","9.85%","3,035","6.74%"
'079550,LIG넥스원,"860,000",▲,"76,000","9.69%","796,330","17.01%"
'096630,에스코넥,"815",▲,"69","9.25%","753","4.35%"
'097230,HJ중공업,"24,350",▲,"1,700","7.51%","32,093","-0.81%"
'006050,국영지앤엠,"1,419",▲,"97","7.34%","1,666","-10.92%"
'042660,한화오션,"128,000",▲,"8,700","7.29%","163,756","3.90%"
'214430,아이쓰리시스템,"99,000",▲,"6,600","7.14%","5,312","6.11%"
'009540,HD한국조선해양,"375,000",▲,"24,500","6.99%","100,153","2.18%"
'310870,디와이씨,"1,576",▲,"100","6.78%","918","6.41%"
'484590,삼양컴텍,"12,770",▲,"810","6.77%","8,288","7.04%"
'003570,SNT다이내믹스,"52,600",▲,"3,300","6.69%","3,224","5.84%"
'005870,휴니드,"9,280",▲,"580","6.67%","12,425","7.53%"
'042370,비츠로테크,"11,830",▲,"630","5.63%","5,870","3.41%"
'437730,삼현,"52,900",▲,"2,800","5.59%","14,692","6.22%"
'119500,포메탈,"3,910",▲,"205","5.53%","341","-0.26%"
'484870,엠앤씨솔루션,"107,500",▲,"5,400","5.29%","3,169","4.17%"
'082920,비츠로셀,"40,650",▲,"1,950","5.04%","39,547","16.98%"
'272210,한화시스템,"135,400",▲,"6,200","4.80%","260,425","9.11%"
'013810,스페코,"2,970",▲,"135","4.76%","2,941","11.65%"
'032820,우리기술,"21,600",▲,"950","4.60%","224,312","-7.69%"
'077360,덕산하이메탈,"10,910",▲,"480","4.60%","7,607","-1.62%"
