종목코드,종목명,현재가,대비,,등락률,대금(백만),기간수익률
'023160,태광,"41,350",▲,"3,600","9.54%","38,089","19.34%"
'014620,성광벤드,"39,600",▲,"3,400","9.39%","32,226","19.46%"
'013030,하이록코리아,"38,050",▲,"2,600","7.33%","4,010","2.70%"
'073010,케이에스피,"3,520",▲,"225","6.83%","825","0.28%"
'105740,디케이락,"9,940",▲,"550","5.86%","2,271","3.01%"
'086670,비엠티,"15,010",▲,"670","4.67%","1,532","-3.10%"
'025550,한국선재,"3,240",▲,"110","3.51%","195","-0.46%"
'452280,한선엔지니어링,"14,040",▲,"340","2.48%","5,197","3.08%"
'039610,화성밸브,"8,140",▲,"190","2.39%","818","5.99%"
,,"",,"","","",""
,,"",,"","","",""
,,"",,"","","",""
,,"",,"","","",""
,,"",,"","","",""
,,"",,"","","",""
,,"",,"","","",""
,,"",,"","","",""
,,"",,"","","",""
,,"",,"","","",""
