종목코드,종목명,현재가,대비,,등락률,대금(백만),기간수익률
'082640,동양생명,"8,460",▲,"200","2.42%","1,957","-6.00%"
'032830,삼성생명,"221,000",▲,"4,000","1.84%","31,538","-0.90%"
'088350,한화생명,"4,470",▲,"50","1.13%","13,291","-5.30%"
'003690,코리안리,"12,180",▼,"-20","-0.16%","1,380","-8.63%"
'085620,미래에셋생명,"16,770",▼,"-50","-0.30%","4,277","-6.37%"
,,"",,"","","",""
,,"",,"","","",""
,,"",,"","","",""
,,"",,"","","",""
,,"",,"","","",""
,,"",,"","","",""
,,"",,"","","",""
,,"",,"","","",""
,,"",,"","","",""
,,"",,"","","",""
,,"",,"","","",""
,,"",,"","","",""
,,"",,"","","",""
,,"",,"","","",""
