종목코드,종목명,현재가,대비,,등락률,대금(백만),기간수익률
'000250,삼천당제약,"648,000",▲,"39,000","6.40%","388,391","-41.67%"
'214260,라파스,"9,590",▲,"270","2.90%","274","-6.07%"
'047920,HLB제약,"16,430",▲,"400","2.50%","1,371","1.11%"
'009290,광동제약,"8,310",▲,"180","2.21%","1,703","-6.42%"
'095700,제넥신,"4,630",▲,"95","2.09%","488","-7.21%"
'002800,신신제약,"5,480",▲,"110","2.05%","279","-2.14%"
'048870,시너지이노베이션,"2,060",▲,"40","1.98%","376","-7.21%"
'078140,대봉엘에스,"9,870",▲,"170","1.75%","205","-2.37%"
'214370,케어젠,"107,500",▲,"1,200","1.13%","15,181","10.94%"
'051910,LG화학,"304,500",▲,"2,500","0.83%","73,515","-2.72%"
'003220,대원제약,"10,260",▲,"80","0.79%","69","-2.47%"
'378800,샤페론,"1,657",▲,"12","0.73%","680","-6.49%"
'002390,한독,"10,550",▲,"60","0.57%","67","-1.86%"
'128940,한미약품,"507,000",▲,"2,000","0.40%","24,387","-7.65%"
'256840,한국비엔씨,"3,770",▲,"15","0.40%","773","-3.70%"
'348150,고바이오랩,"5,460",▲,"20","0.37%","1,330","-15.87%"
'185750,종근당,"88,200",▲,"100","0.11%","1,493","-3.82%"
'291650,압타머사이언스,"1,941",▲,"1","0.05%","362","5.15%"
'249420,일동제약,"27,000", ,"0","0%","4,003","-10.74%"
'067080,대화제약,"14,210", ,"0","0%","710","-1.46%"
'000100,유한양행,"92,800",▼,"-100","-0.11%","11,854","-7.57%"
'439580,블루엠텍,"3,295",▼,"-25","-0.75%","567","-6.79%"
'089140,넥스턴앤롤코리아,"2,060",▼,"-20","-0.96%","70","-5.07%"
'170900,동아에스티,"43,450",▼,"-450","-1.03%","355","-5.23%"
'068760,셀트리온제약,"54,500",▼,"-600","-1.09%","2,732","-6.84%"
'347850,디앤디파마텍,"68,600",▼,"-800","-1.15%","26,097","-11.60%"
'456160,지투지바이오,"66,800",▼,"-800","-1.18%","10,188","-15.23%"
'195940,HK이노엔,"47,600",▼,"-750","-1.55%","8,790","-10.36%"
'196300,HLB펩,"7,000",▼,"-140","-1.96%","95","-2.91%"
'138610,나이벡,"25,700",▼,"-550","-2.10%","1,389","-11.23%"
