종목코드,종목명,현재가,대비,,등락률,대금(백만),기간수익률
'009830,한화솔루션,"39,050",▲,"3,450","9.69%","408,383","9.54%"
'006650,대한유화,"129,900",▲,"6,600","5.35%","8,489","-2.62%"
'083420,그린케미칼,"5,900",▲,"280","4.98%","934","2.79%"
'005950,이수화학,"7,820",▲,"230","3.03%","694","-2.01%"
'120110,코오롱인더,"81,400",▲,"2,100","2.65%","24,944","1.75%"
'096770,SK이노베이션,"118,200",▲,"2,700","2.34%","35,929","6.10%"
'003240,태광산업,"1,124,000",▲,"20,000","1.81%","3,482","-4.50%"
'102260,동성케미컬,"4,200",▲,"70","1.69%","783","-1.75%"
'011170,롯데케미칼,"80,100",▲,"1,200","1.52%","8,474","-3.14%"
'011790,SKC,"94,900",▲,"1,300","1.39%","21,596","-3.85%"
'051910,LG화학,"304,500",▲,"2,500","0.83%","73,515","-2.72%"
'104480,티케이케미칼,"2,215",▲,"15","0.68%","2,326","-7.90%"
'285130,SK케미칼,"51,300",▲,"200","0.39%","1,372","-6.73%"
'145990,삼양사,"45,350",▲,"150","0.33%","310","-0.77%"
'025000,KPX케미칼,"49,750",▲,"150","0.30%","209","0.51%"
'011780,금호석유화학,"118,000", ,"0","0%","12,150","-6.72%"
'161000,애경케미칼,"14,040",▼,"-1,160","-7.63%","48,710","23.16%"
,,"",,"","","",""
,,"",,"","","",""
