종목코드,종목명,현재가,대비,,등락률,대금(백만),기간수익률
'000660,SK하이닉스,"876,000",▲,"46,000","5.54%","2,564,699","-4.99%"
'005930,삼성전자,"186,200",▲,"7,800","4.37%","3,744,696","3.62%"
'309960,LB인베스트먼트,"5,260",▲,"110","2.14%","220","-6.74%"
'168360,펨트론,"19,730",▲,"400","2.07%","1,559","-2.81%"
'425420,티에프이,"59,200",▲,"1,000","1.72%","10,633","-14.20%"
'033160,엠케이전자,"18,100",▲,"260","1.46%","10,829","16.10%"
'222800,심텍,"49,550",▲,"600","1.23%","17,518","-11.83%"
'353200,대덕전자,"81,200",▲,"900","1.12%","74,828","-4.92%"
'095340,ISC,"237,000",▲,"1,000","0.42%","40,777","-5.20%"
'356860,티엘비,"65,500",▼,"-700","-1.06%","12,700","-10.40%"
'007810,코리아써키트,"68,000",▼,"-3,500","-4.90%","37,846","-19.05%"
,,"",,"","","",""
,,"",,"","","",""
,,"",,"","","",""
,,"",,"","","",""
,,"",,"","","",""
,,"",,"","","",""
,,"",,"","","",""
,,"",,"","","",""
