종목코드,종목명,현재가,대비,,등락률,대금(백만),기간수익률
'010120,LS ELECTRIC,"769,000",▲,"10,000","1.32%","76,373","-4.00%"
'090710,휴림로봇,"10,880",▲,"80","0.74%","44,840","-15.79%"
'319400,현대무벡스,"27,300",▲,"650","2.44%","34,113","5.81%"
'034730,SK,"312,500",▲,"4,500","1.46%","30,377","-6.44%"
'098460,고영,"26,450",▲,"250","0.95%","23,477","-3.11%"
'018260,삼성에스디에스,"152,200",▲,"1,600","1.06%","15,654","-2.62%"
'003550,LG,"86,500",▲,"1,700","2.00%","15,511","-2.81%"
'064400,LG씨엔에스,"57,600",▲,"1,100","1.95%","14,602","-5.73%"
'012510,더존비즈온,"119,200",▼,"-200","-0.17%","6,934","-0.08%"
'022100,포스코DX,"30,500",▲,"350","1.16%","6,723","-0.16%"
'011700,한신기계,"4,360",▲,"130","3.07%","2,610","-2.02%"
'140670,알에스오토메이션,"15,550",▼,"-30","-0.19%","2,210","-8.58%"
'484810,티엑스알로보틱스,"15,940",▲,"640","4.18%","1,684","5.91%"
'086670,비엠티,"15,010",▲,"670","4.67%","1,532","-3.10%"
'059120,아진엑스텍,"6,680",▲,"90","1.37%","1,347","-17.33%"
'322180,LS티라유텍,"6,740",▲,"10","0.15%","887","-7.42%"
'086960,MDS테크,"1,095",▲,"5","0.46%","663","-4.70%"
'317830,에스피시스템스,"9,330",▲,"130","1.41%","433","-4.70%"
'282880,코윈테크,"13,900",▲,"300","2.21%","392","-1.70%"
'452450,피아이이,"5,030",▲,"100","2.03%","367","-3.08%"
'381620,제닉스로보틱스,"8,690",▲,"130","1.52%","311","-4.61%"
'048770,TPC,"3,015",▲,"40","1.34%","216","-3.83%"
'108230,톱텍,"4,210",▲,"45","1.08%","186","-2.09%"
'351330,이삭엔지니어링,"6,920",▲,"10","0.14%","149","-6.61%"
'391710,코닉오토메이션,"1,783",▲,"41","2.35%","146","-4.29%"
'075970,동국알앤에스,"2,160",▲,"30","1.41%","117","-0.69%"
'094280,효성ITX,"12,260",▼,"-10","-0.08%","76","-2.23%"
'347890,엠투아이,"5,200",▲,"30","0.58%","57","-4.59%"
'373170,엠아이큐브솔루션,"2,590",▲,"25","0.97%","51","-4.78%"
'290090,트윔,"6,080",▲,"140","2.36%","22","5.01%"
