종목코드,종목명,현재가,대비,,등락률,대금(백만),기간수익률
'100790,미래에셋벤처투자,"27,450",▲,"1,700","6.60%","173,024","-15.67%"
'274090,켄코아에어로스페이스,"19,540",▲,"830","4.44%","12,509","-16.67%"
'209640,와이제이링크,"4,330",▲,"170","4.09%","2,822","-7.18%"
'001430,세아베스틸지주,"67,300",▲,"2,500","3.86%","7,402","-3.17%"
'006800,미래에셋증권,"63,100",▲,"1,500","2.44%","141,299","-5.96%"
'417010,나노팀,"9,420",▲,"150","1.62%","1,227","-14.05%"
'272290,이녹스첨단소재,"29,250",▲,"200","0.69%","3,856","-9.16%"
'027360,아주IB투자,"8,830",▲,"50","0.57%","74,118","-4.44%"
'295310,에이치브이엠,"87,600",▼,"-400","-0.45%","22,100","-7.98%"
'373220,LG에너지솔루션,"398,500",▼,"-6,000","-1.48%","102,127","1.01%"
'347700,스피어,"45,500",▼,"-700","-1.52%","44,433","-10.61%"
'321370,센서뷰,"3,230",▼,"-90","-2.71%","14,003","-1.97%"
,,"",,"","","",""
,,"",,"","","",""
,,"",,"","","",""
,,"",,"","","",""
,,"",,"","","",""
,,"",,"","","",""
,,"",,"","","",""
