종목코드,종목명,현재가,대비,,등락률,대금(백만),기간수익률
'117670,알파칩스,"16,780",▲,"2,870","20.63%","1,849","7.84%"
'200710,에이디테크놀로지,"56,300",▲,"8,100","16.80%","25,209","-2.60%"
'058470,리노공업,"110,400",▲,"11,300","11.40%","99,107","5.24%"
'000990,DB하이텍,"90,600",▲,"7,300","8.76%","38,462","8.11%"
'052860,아이앤씨,"4,990",▲,"400","8.71%","1,293","14.19%"
'226590,엠디바이스,"24,500",▲,"1,300","5.60%","9,579","-9.93%"
'000660,SK하이닉스,"876,000",▲,"46,000","5.54%","2,564,699","-4.99%"
'330860,네패스아크,"26,150",▲,"1,250","5.02%","21,185","3.56%"
'005930,삼성전자,"186,200",▲,"7,800","4.37%","3,744,696","3.62%"
'093520,매커스,"22,550",▲,"850","3.92%","680","-3.22%"
'429270,시지트로닉스,"4,920",▲,"185","3.91%","708","4.35%"
'396270,넥스트칩,"3,700",▲,"125","3.50%","1,327","-7.50%"
'399720,가온칩스,"62,100",▲,"2,100","3.50%","4,286","-2.97%"
'234030,싸이닉솔루션,"6,370",▲,"190","3.07%","593","-6.73%"
'123860,아나패스,"17,100",▲,"470","2.83%","864","-1.84%"
'440110,파두,"50,500",▲,"1,250","2.54%","38,171","-3.63%"
'317120,라닉스,"1,927",▲,"46","2.45%","81","-2.18%"
'452430,사피엔반도체,"29,950",▲,"700","2.39%","1,029","-8.83%"
'220260,켐트로스,"5,190",▲,"120","2.37%","676","-1.70%"
'097800,윈팩,"404",▲,"9","2.28%","104","-2.65%"
'036540,SFA반도체,"6,420",▲,"140","2.23%","9,618","-2.13%"
'033640,네패스,"19,010",▲,"410","2.20%","5,724","3.82%"
'003160,디아이,"28,300",▲,"600","2.17%","6,234","-17.97%"
'389020,자람테크놀로지,"49,250",▲,"950","1.97%","7,780","-7.60%"
'042700,한미반도체,"260,000",▲,"4,000","1.56%","136,549","-5.63%"
'038880,아이에이,"133",▲,"2","1.53%","123","-6.34%"
'059120,아진엑스텍,"6,680",▲,"90","1.37%","1,347","-17.33%"
'093640,케이알엠,"4,230",▲,"55","1.32%","606","-15.40%"
'054450,텔레칩스,"11,860",▲,"150","1.28%","537","-5.65%"
'094360,칩스앤미디어,"15,450",▲,"190","1.25%","677","-8.25%"
