종목코드,종목명,현재가,대비,,등락률,대금(백만),기간수익률
'009150,삼성전기,"456,000",▲,"39,000","9.35%","376,528","5.07%"
'192440,슈피겐코리아,"26,700",▲,"2,200","8.98%","845","12.18%"
'090460,비에이치,"22,950",▲,"1,700","8.00%","17,814","5.76%"
'238090,앤디포스,"3,600",▲,"260","7.78%","2,325","27.89%"
'000660,SK하이닉스,"876,000",▲,"46,000","5.54%","2,564,699","-4.99%"
'000670,영풍,"59,700",▲,"2,800","4.92%","2,429","0%"
'005930,삼성전자,"186,200",▲,"7,800","4.37%","3,744,696","3.62%"
'126700,하이비젼시스템,"16,350",▲,"550","3.48%","1,463","-4.72%"
'263600,덕우전자,"5,140",▲,"100","1.98%","226","-1.72%"
'084850,아이티엠반도체,"10,880",▲,"180","1.68%","693","-12.75%"
'051910,LG화학,"304,500",▲,"2,500","0.83%","73,515","-2.72%"
'272290,이녹스첨단소재,"29,250",▲,"200","0.69%","3,856","-9.16%"
'053610,프로텍,"52,500",▲,"100","0.19%","1,812","-4.37%"
'251370,와이엠티,"15,580",▼,"-60","-0.38%","3,739","-5.86%"
'051370,인터플렉스,"12,400",▼,"-70","-0.56%","1,490","-6.77%"
'108320,LX세미콘,"49,300",▼,"-300","-0.60%","1,776","-4.46%"
'006400,삼성SDI,"438,500",▼,"-4,500","-1.02%","305,138","8.14%"
'011070,LG이노텍,"324,500",▼,"-4,000","-1.22%","92,409","1.25%"
'213420,덕산네오룩스,"43,850",▼,"-650","-1.46%","8,399","-17.26%"
'034220,LG디스플레이,"10,860",▼,"-320","-2.86%","69,211","-5.57%"
