종목코드,종목명,현재가,대비,,등락률,대금(백만),기간수익률
'062970,한국첨단소재,"3,575",↑,"825","30.00%","17,377","16.83%"
'050890,쏠리드,"16,300",▲,"1,230","8.16%","354,807","15.85%"
'115440,우리넷,"11,250",▲,"640","6.03%","13,993","-18.42%"
'123010,알엔티엑스,"1,195",▲,"68","6.03%","1,575","4.46%"
'046970,우리로,"7,700",▲,"300","4.05%","162,706","-0.26%"
'017670,SK텔레콤,"80,900",▲,"3,100","3.98%","53,501","1.25%"
'056360,코위버,"7,210",▲,"260","3.74%","4,247","3.00%"
'131760,파인텍,"612",▲,"21","3.55%","46","-7.97%"
'356680,엑스게이트,"6,870",▲,"220","3.31%","616","-4.32%"
'066310,큐에스아이,"10,960",▲,"300","2.81%","2,925","-7.35%"
'115500,케이씨에스,"9,030",▲,"240","2.73%","315","-1.74%"
'317120,라닉스,"1,927",▲,"46","2.45%","81","-2.18%"
'203650,드림시큐리티,"1,593",▲,"33","2.12%","791","-5.18%"
'232830,아이티센피엔에스,"2,635",▲,"50","1.93%","57","-1.13%"
'053300,한국정보인증,"5,550",▲,"90","1.65%","539","-5.45%"
'158430,아톤,"5,800",▲,"60","1.05%","941","-9.38%"
'042510,라온시큐어,"8,640",▲,"90","1.05%","391","-3.57%"
'456010,아이씨티케이,"14,070",▲,"110","0.79%","3,165","-8.34%"
'030200,KT,"59,500",▲,"100","0.17%","19,149","-2.14%"
'208710,포톤,"2,005", ,"0","0%","27","0.70%"
'091440,한울소재과학,"3,065",▼,"-10","-0.33%","386","-1.45%"
'172670,에이엘티,"10,620",▼,"-90","-0.84%","370","-10.30%"
'032640,LG유플러스,"15,330",▼,"-170","-1.10%","11,118","-4.78%"
'223310,사토시홀딩스,"1,460",▼,"-20","-1.35%","97","-2.60%"
