종목코드,종목명,현재가,대비,,등락률,대금(백만),기간수익률
'352820,하이브,"270,000",▲,"1,500","0.56%","77,523","-12.05%"
'035720,카카오,"45,200",▼,"-200","-0.44%","48,919","-7.38%"
'041510,에스엠,"85,000",▼,"-400","-0.47%","6,771","-6.59%"
'035900,JYP Ent.,"60,200",▲,"100","0.17%","6,003","-6.38%"
'122870,와이지엔터테인먼트,"51,000",▲,"200","0.39%","5,912","-9.25%"
'253450,스튜디오드래곤,"34,200",▼,"-1,150","-3.25%","3,645","-9.28%"
'376300,디어유,"29,600",▲,"50","0.17%","3,231","-8.78%"
'035760,CJ ENM,"53,500",▼,"-300","-0.56%","2,580","-9.78%"
'458350,에스팀,"9,060",▼,"-180","-1.95%","1,588","-13.30%"
'473980,노머스,"18,010",▲,"360","2.04%","906","3.03%"
'078860,스테이지원엔터,"526",▲,"27","5.41%","478","9.58%"
'369370,블리츠웨이엔터테인먼트,"1,275",▲,"49","4.00%","320","5.37%"
'036420,콘텐트리중앙,"5,540",▼,"-140","-2.46%","290","-8.28%"
'182360,큐브엔터,"9,970",▲,"60","0.61%","131","-4.96%"
'046390,삼화네트웍스,"1,017",▲,"17","1.70%","122","2.94%"
'950190,고스트스튜디오,"8,240",▲,"250","3.13%","121","0.37%"
'047820,초록뱀미디어,"4,365",▼,"-40","-0.91%","119","0.69%"
'200350,아티스트스튜디오,"4,510",▲,"60","1.35%","96","-4.65%"
'012170,아센디오,"1,221",▼,"-40","-3.17%","88","-5.20%"
'068050,팬엔터테인먼트,"1,561",▼,"-14","-0.89%","79","-3.52%"
'160550,NEW,"1,712",▲,"14","0.82%","77","-4.84%"
'048550,SM C&C,"1,101",▲,"12","1.10%","72","-2.57%"
'032800,판타지오,"345",▲,"14","4.23%","71","9.87%"
'054780,키이스트,"2,610",▲,"60","2.35%","58","-1.69%"
'361570,알비더블유,"1,894",▲,"4","0.21%","54","-2.42%"
'173940,에프엔씨엔터,"3,740",▲,"40","1.08%","48","-0.66%"
'043610,KT지니뮤직,"1,685",▲,"5","0.30%","44","-0.88%"
'051780,큐로홀딩스,"739",▲,"32","4.53%","38","8.04%"
'032540,TJ미디어,"3,870",▲,"20","0.52%","16","-1.02%"
'131100,티엔엔터테인먼트,"1,275",▼,"-1","-0.08%","15","0.16%"
