종목코드,종목명,현재가,대비,,등락률,대금(백만),기간수익률
'207940,삼성바이오로직스,"1,554,000",▼,"-31,000","-1.96%","43,865","-3.24%"
'217730,강스템바이오텍,"3,440",▼,"-95","-2.69%","5,458","-4.04%"
'475960,토모큐브,"54,700",▲,"500","0.92%","3,871","-5.03%"
'001060,JW중외제약,"29,000",▼,"-50","-0.17%","1,823","-9.52%"
'476040,오가노이드사이언스,"22,550",▲,"550","2.50%","1,043","-11.57%"
'246710,티앤알바이오팹,"2,895",▲,"20","0.70%","963","3.21%"
'223250,드림씨아이에스,"4,735",▲,"90","1.94%","277","-4.73%"
'068330,일신바이오,"1,414",▲,"4","0.28%","167","-1.60%"
,,"",,"","","",""
,,"",,"","","",""
,,"",,"","","",""
,,"",,"","","",""
,,"",,"","","",""
,,"",,"","","",""
,,"",,"","","",""
,,"",,"","","",""
,,"",,"","","",""
,,"",,"","","",""
,,"",,"","","",""
