종목코드,종목명,현재가,대비,,등락률,대금(백만),기간수익률
'200710,에이디테크놀로지,"56,300",▲,"8,100","16.80%","25,209","-2.60%"
'058470,리노공업,"110,400",▲,"11,300","11.40%","99,107","5.24%"
'009150,삼성전기,"456,000",▲,"39,000","9.35%","376,528","5.07%"
'000660,SK하이닉스,"876,000",▲,"46,000","5.54%","2,564,699","-4.99%"
'330860,네패스아크,"26,150",▲,"1,250","5.02%","21,185","3.56%"
'486990,노타,"34,800",▲,"1,650","4.98%","10,762","-12.01%"
'005930,삼성전자,"186,200",▲,"7,800","4.37%","3,744,696","3.62%"
'399720,가온칩스,"62,100",▲,"2,100","3.50%","4,286","-2.97%"
'403870,HPSP,"42,000",▲,"1,150","2.82%","47,178","-6.98%"
'033640,네패스,"19,010",▲,"410","2.20%","5,724","3.82%"
'377480,마음AI,"14,080",▲,"260","1.88%","299","-8.03%"
'200470,에이팩트,"6,790",▲,"120","1.80%","2,743","-10.89%"
'054450,텔레칩스,"11,860",▲,"150","1.28%","537","-5.65%"
'094360,칩스앤미디어,"15,450",▲,"190","1.25%","677","-8.25%"
'222800,심텍,"49,550",▲,"600","1.23%","17,518","-11.83%"
'353200,대덕전자,"81,200",▲,"900","1.12%","74,828","-4.92%"
'323280,태성,"52,600",▲,"300","0.57%","11,798","-9.31%"
'394280,오픈엣지테크놀로지,"14,440",▲,"70","0.49%","1,710","-18.05%"
'432720,퀄리타스반도체,"14,180",▲,"60","0.42%","5,041","-8.34%"
'077500,유니퀘스트,"5,870",▲,"20","0.34%","2,519","-3.93%"
'102120,어보브반도체,"10,420",▲,"20","0.19%","1,507","-7.13%"
'080220,제주반도체,"38,500",▼,"-200","-0.52%","33,190","-4.11%"
'405100,큐알티,"15,100",▼,"-100","-0.66%","556","-10.07%"
'464500,아이언디바이스,"3,135",▼,"-45","-1.42%","305","-10.68%"
