종목코드,종목명,현재가,대비,,등락률,대금(백만),기간수익률
'322000,HD현대에너지솔루션,"191,100",↑,"44,100","30.00%","590,664","55.11%"
'009830,한화솔루션,"39,050",▲,"3,450","9.69%","408,383","9.54%"
'086390,유니테스트,"16,100",▲,"780","5.09%","3,806","-6.34%"
'255440,야스,"10,690",▲,"370","3.59%","329","-5.23%"
'171090,선익시스템,"84,300",▲,"2,700","3.31%","13,314","-9.16%"
'078600,대주전자재료,"121,100",▲,"3,100","2.63%","29,790","-6.99%"
'489500,엘케이켐,"32,000",▲,"800","2.56%","2,024","-3.03%"
'357550,석경에이티,"51,400",▲,"1,100","2.19%","182","-3.75%"
'241770,메카로,"38,000",▼,"-100","-0.26%","1,125","2.70%"
'015760,한국전력,"40,300",▼,"-950","-2.30%","151,870","-8.20%"
,,"",,"","","",""
,,"",,"","","",""
,,"",,"","","",""
,,"",,"","","",""
,,"",,"","","",""
,,"",,"","","",""
,,"",,"","","",""
,,"",,"","","",""
,,"",,"","","",""
