종목코드,종목명,현재가,대비,,등락률,대금(백만),기간수익률
'010820,퍼스텍,"9,130",▲,"1,820","24.90%","121,704","27.87%"
'044490,태웅,"50,700",▲,"6,350","14.32%","52,744","7.99%"
'079550,LIG넥스원,"860,000",▲,"76,000","9.69%","796,330","17.01%"
'354320,알멕,"57,600",▲,"3,100","5.69%","13,963","24.00%"
'042370,비츠로테크,"11,830",▲,"630","5.63%","5,870","3.41%"
'451760,컨텍,"18,090",▲,"900","5.24%","7,843","-9.46%"
'294630,서남,"3,920",▲,"195","5.23%","1,493","2.75%"
'272210,한화시스템,"135,400",▲,"6,200","4.80%","260,425","9.11%"
'077360,덕산하이메탈,"10,910",▲,"480","4.60%","7,607","-1.62%"
'274090,켄코아에어로스페이스,"19,540",▲,"830","4.44%","12,509","-16.67%"
'064350,현대로템,"210,000",▲,"8,500","4.22%","204,537","14.01%"
'001430,세아베스틸지주,"67,300",▲,"2,500","3.86%","7,402","-3.17%"
'488900,비츠로넥스텍,"18,000",▲,"610","3.51%","3,258","-10.67%"
'089980,상아프론테크,"22,600",▲,"700","3.20%","1,770","-10.67%"
'0015G0,그린광학,"29,450",▲,"750","2.61%","4,008","-11.43%"
'474170,루미르,"13,530",▲,"340","2.58%","2,678","-12.60%"
'000880,한화,"113,700",▲,"2,800","2.52%","22,868","1.97%"
'211270,AP위성,"16,120",▲,"370","2.35%","3,672","-8.77%"
'012450,한화에어로스페이스,"1,449,000",▲,"32,000","2.26%","280,460","8.54%"
'462350,이노스페이스,"14,870",▲,"290","1.99%","3,002","-4.68%"
'361390,제노코,"28,150",▲,"350","1.26%","4,729","-19.57%"
'189300,인텔리안테크,"115,800",▲,"1,400","1.22%","16,956","-10.30%"
'007660,이수페타시스,"102,600",▲,"800","0.79%","55,837","-7.15%"
'272290,이녹스첨단소재,"29,250",▲,"200","0.69%","3,856","-9.16%"
'225190,LK삼양,"1,866",▲,"10","0.54%","1,229","-7.62%"
'030520,한글과컴퓨터,"19,120",▼,"-40","-0.21%","1,323","-6.50%"
'295310,에이치브이엠,"87,600",▼,"-400","-0.45%","22,100","-7.98%"
'056190,에스에프에이,"26,750",▼,"-200","-0.74%","1,314","-3.60%"
'003490,대한항공,"23,000",▼,"-200","-0.86%","52,024","-9.09%"
'047810,한국항공우주,"182,600",▼,"-1,600","-0.87%","108,414","-2.09%"
