종목코드,종목명,현재가,대비,,등락률,대금(백만),기간수익률
'044490,태웅,"50,700",▲,"6,350","14.32%","52,744","7.99%"
'388050,지투파워,"12,520",▲,"1,420","12.79%","53,273","11.89%"
'046120,오르비텍,"12,760",▲,"1,380","12.13%","33,278","10.00%"
'100840,SNT에너지,"52,100",▲,"5,200","11.09%","69,409","8.09%"
'375500,DL이앤씨,"75,000",▲,"6,900","10.13%","227,427","13.98%"
'095190,이엠코리아,"2,415",▲,"220","10.02%","1,273","6.86%"
'023160,태광,"41,350",▲,"3,600","9.54%","38,089","19.34%"
'014620,성광벤드,"39,600",▲,"3,400","9.39%","32,226","19.46%"
'126720,수산인더스트리,"27,950",▲,"2,100","8.12%","3,302","4.10%"
'013030,하이록코리아,"38,050",▲,"2,600","7.33%","4,010","2.70%"
'081150,티플랙스,"3,585",▲,"215","6.38%","29,573","6.70%"
'105740,디케이락,"9,940",▲,"550","5.86%","2,271","3.01%"
'019990,에너토크,"8,760",▲,"470","5.67%","606","-0.57%"
'282720,금양그린파워,"17,400",▲,"930","5.65%","30,648","18.61%"
'054540,삼영엠텍,"11,090",▲,"590","5.62%","1,486","-0.89%"
'006910,보성파워텍,"9,720",▲,"500","5.42%","22,336","-4.52%"
'457550,우진엔텍,"25,150",▲,"1,250","5.23%","2,074","-1.76%"
'086670,비엠티,"15,010",▲,"670","4.67%","1,532","-3.10%"
'032820,우리기술,"21,600",▲,"950","4.60%","224,312","-7.69%"
'012210,삼미금속,"13,810",▲,"580","4.38%","3,590","10.48%"
'096350,대창솔루션,"3,100",▲,"130","4.38%","3,570","-5.63%"
'189860,서전기전,"5,330",▲,"220","4.31%","1,840","-11.46%"
'052690,한전기술,"162,900",▲,"6,700","4.29%","26,647","3.76%"
'006360,GS건설,"27,250",▲,"1,050","4.01%","65,376","3.42%"
'017040,광명전기,"954",▲,"35","3.81%","475","-6.93%"
'187220,디티앤씨,"3,030",▲,"110","3.77%","172","1.00%"
'094820,일진파워,"16,950",▲,"610","3.73%","3,519","1.80%"
'140520,대창스틸,"2,130",▲,"75","3.65%","36","0.24%"
'105840,우진,"23,400",▲,"800","3.54%","8,453","-4.10%"
'130660,한전산업,"18,580",▲,"610","3.39%","4,769","-2.93%"
