종목코드,종목명,현재가,대비,,등락률,대금(백만),기간수익률
'046120,오르비텍,"12,760",▲,"1,380","12.13%","33,278","10.00%"
'042370,비츠로테크,"11,830",▲,"630","5.63%","5,870","3.41%"
'032820,우리기술,"21,600",▲,"950","4.60%","224,312","-7.69%"
'096350,대창솔루션,"3,100",▲,"130","4.38%","3,570","-5.63%"
'052690,한전기술,"162,900",▲,"6,700","4.29%","26,647","3.76%"
'105840,우진,"23,400",▲,"800","3.54%","8,453","-4.10%"
'051600,한전KPS,"57,200",▲,"1,800","3.25%","7,077","-3.05%"
'034020,두산에너빌리티,"96,600",▲,"3,000","3.21%","243,450","-1.53%"
'136150,원일티엔아이,"17,410",▲,"460","2.71%","676","-4.18%"
'348350,위드텍,"9,650",▲,"220","2.33%","169","-1.63%"
'098070,한텍,"49,300",▲,"850","1.75%","16,669","7.41%"
'000720,현대건설,"151,100",▲,"2,300","1.55%","127,548","0.87%"
'083650,비에이치아이,"92,500",▲,"1,300","1.43%","18,867","-2.43%"
'199430,케이엔알시스템,"21,800",▲,"200","0.93%","888","-3.11%"
'103230,에스앤더블류,"3,750",▲,"30","0.81%","99","0.27%"
,,"",,"","","",""
,,"",,"","","",""
,,"",,"","","",""
,,"",,"","","",""
