종목코드,종목명,현재가,대비,,등락률,대금(백만),기간수익률
'009150,삼성전기,"456,000",▲,"39,000","9.35%","376,528","5.07%"
'171010,램테크놀러지,"3,135",▲,"95","3.13%","66","-5.14%"
'078150,HB테크놀러지,"2,135",▲,"60","2.89%","2,872","-2.95%"
'267320,나인테크,"3,010",▲,"75","2.56%","1,204","-3.83%"
'112290,와이씨켐,"23,150",▲,"550","2.43%","1,105","-5.32%"
'452190,한빛레이저,"4,055",▲,"90","2.27%","267","-2.05%"
'452450,피아이이,"5,030",▲,"100","2.03%","367","-3.08%"
'040910,아이씨디,"5,220",▲,"100","1.95%","242","-6.62%"
'450330,하스,"6,830",▲,"110","1.64%","136","1.94%"
'049950,미래컴퍼니,"13,400",▲,"200","1.52%","400","-5.10%"
'089010,켐트로닉스,"26,950",▲,"400","1.51%","1,366","-4.43%"
'469750,아이비젼웍스,"1,083",▲,"16","1.50%","100","0.93%"
'011790,SKC,"94,900",▲,"1,300","1.39%","21,596","-3.85%"
'302430,이노메트리,"6,600",▲,"60","0.92%","177","-2.65%"
'323280,태성,"52,600",▲,"300","0.57%","11,798","-9.31%"
'083500,에프엔에스테크,"15,300",▼,"-40","-0.26%","1,372","-10.21%"
'161580,필옵틱스,"37,450",▼,"-150","-0.40%","4,081","-5.19%"
'264660,씨앤지하이테크,"16,010",▼,"-160","-0.99%","1,515","-6.65%"
'204270,제이앤티씨,"15,180",▼,"-210","-1.36%","1,722","-10.55%"
'420770,기가비스,"83,200",▼,"-3,000","-3.48%","13,675","6.67%"
