종목코드,종목명,현재가,대비,,등락률,대금(백만),기간수익률
'006220,제주은행,"12,090",▲,"200","1.68%","1,293","-5.62%"
'279570,케이뱅크,"5,880",▲,"90","1.55%","11,864","-6.22%"
'175330,JB금융지주,"29,200",▲,"350","1.21%","7,473","-6.11%"
'139130,iM금융지주,"16,650",▲,"80","0.48%","5,173","-5.77%"
'055550,신한지주,"91,800",▲,"100","0.11%","51,718","-1.82%"
'138930,BNK금융지주,"17,600",▼,"-30","-0.17%","11,198","-5.78%"
'086790,하나금융지주,"109,700",▼,"-700","-0.63%","57,375","-0.63%"
'105560,KB금융,"145,500",▼,"-1,000","-0.68%","79,644","-4.40%"
'316140,우리금융지주,"31,950",▼,"-250","-0.78%","29,351","-4.91%"
'323410,카카오뱅크,"23,450",▼,"-250","-1.05%","16,468","-4.87%"
'024110,기업은행,"21,350",▼,"-300","-1.39%","14,923","-9.34%"
,,"",,"","","",""
,,"",,"","","",""
,,"",,"","","",""
,,"",,"","","",""
,,"",,"","","",""
,,"",,"","","",""
,,"",,"","","",""
,,"",,"","","",""
