종목코드,종목명,현재가,대비,,등락률,대금(백만),기간수익률
'382150,온코크로스,"7,750",▲,"550","7.64%","22,305","14.99%"
'127120,제이에스링크,"41,150",▲,"2,350","6.06%","12,036","8.72%"
'340810,시선AI,"2,575",▲,"125","5.10%","120","0%"
'288980,모아데이타,"855",▲,"40","4.91%","349","17.45%"
'376900,로킷헬스케어,"142,000",▲,"5,400","3.95%","38,718","14.52%"
'033230,인성정보,"1,639",▲,"59","3.73%","460","-0.73%"
'322510,제이엘케이,"7,000",▲,"210","3.09%","2,149","-3.45%"
'041020,폴라리스오피스,"4,270",▲,"110","2.64%","1,575","-8.07%"
'315640,딥노이드,"3,330",▲,"65","1.99%","314","-6.72%"
'223250,드림씨아이에스,"4,735",▲,"90","1.94%","277","-4.73%"
'394800,쓰리빌리언,"12,140",▲,"200","1.68%","1,449","-9.87%"
'084650,랩지노믹스,"1,293",▲,"19","1.49%","235","-4.43%"
'208370,셀바스헬스케어,"4,250",▲,"60","1.43%","609","-9.19%"
'393210,토마토시스템,"4,095",▲,"55","1.36%","134","-6.08%"
'354200,엔젠바이오,"1,682",▲,"21","1.26%","164","-8.09%"
'419540,비스토스,"870",▲,"10","1.16%","41","-1.69%"
'380550,뉴로핏,"18,610",▲,"210","1.14%","2,444","-12.42%"
'384470,코어라인소프트,"3,125",▲,"15","0.48%","179","-6.72%"
'099750,이지케어텍,"8,930",▲,"30","0.34%","146","-2.72%"
'0007C0,아크릴,"31,050",▲,"50","0.16%","3,796","-9.34%"
'388870,파로스아이바이오,"9,190",▲,"10","0.11%","778","-11.72%"
'226330,신테카바이오,"3,190",▼,"-10","-0.31%","619","-6.86%"
'229000,젠큐릭스,"2,465",▼,"-10","-0.40%","1,162","-8.19%"
'108860,셀바스AI,"12,600",▼,"-80","-0.63%","7,862","-20.45%"
'338220,뷰노,"15,480",▼,"-130","-0.83%","683","-7.97%"
'328130,루닛,"32,650",▼,"-500","-1.51%","2,599","-5.64%"
'347700,스피어,"45,500",▼,"-700","-1.52%","44,433","-10.61%"
'376930,노을,"1,625",▼,"-33","-1.99%","292","-0.91%"
'458870,씨어스테크놀로지,"47,600",▼,"-1,600","-3.25%","4,140","-14.85%"
'041920,메디아나,"18,740",▼,"-1,030","-5.21%","3,373","-5.83%"
