종목코드,종목명,현재가,대비,,등락률,대금(백만),기간수익률
'119610,인터로조,"20,750",▲,"1,950","10.37%","2,700","6.36%"
'214430,아이쓰리시스템,"99,000",▲,"6,600","7.14%","5,312","6.11%"
'058110,멕아이씨에스,"2,955",▲,"185","6.68%","9,800","44.15%"
'387570,파인메딕스,"6,800",▲,"350","5.43%","76","-1.45%"
'216080,제테마,"7,640",▲,"370","5.09%","1,625","-6.14%"
'205470,휴마시스,"759",▲,"32","4.40%","498","-0.39%"
'005930,삼성전자,"186,200",▲,"7,800","4.37%","3,744,696","3.62%"
'043100,알파AI,"527",▲,"22","4.36%","272","-15.68%"
'240550,동방메디컬,"6,560",▲,"260","4.13%","596","-4.23%"
'376900,로킷헬스케어,"142,000",▲,"5,400","3.95%","38,718","14.52%"
'494120,큐리오시스,"59,800",▲,"2,200","3.82%","2,448","-8.56%"
'099430,바이오플러스,"5,250",▲,"190","3.75%","1,439","1.55%"
'398120,에스지헬스케어,"4,090",▲,"145","3.68%","420","-8.50%"
'322510,제이엘케이,"7,000",▲,"210","3.09%","2,149","-3.45%"
'115480,씨유메디칼,"500",▲,"15","3.09%","105","-0.60%"
'489460,바이오비쥬,"8,030",▲,"230","2.95%","222","-6.52%"
'317690,퀀타매트릭스,"3,920",▲,"110","2.89%","244","-2.37%"
'145720,덴티움,"51,000",▲,"1,400","2.82%","9,626","-3.77%"
'059210,메타바이오메드,"4,225",▲,"115","2.80%","416","-6.01%"
'039840,디오,"16,370",▲,"390","2.44%","395","-1.92%"
'462510,라메디텍,"4,710",▲,"105","2.28%","146","-2.28%"
'302550,리메드,"3,005",▲,"60","2.04%","159","-3.53%"
'315640,딥노이드,"3,330",▲,"65","1.99%","314","-6.72%"
'460940,피앤에스로보틱스,"7,520",▲,"140","1.90%","369","-5.65%"
'460470,아이빔테크놀로지,"3,270",▲,"60","1.87%","78","-10.41%"
'032620,유비케어,"3,970",▲,"70","1.79%","325","-2.10%"
'100700,세운메디칼,"2,750",▲,"45","1.66%","4,866","6.80%"
'253840,수젠텍,"4,580",▲,"70","1.55%","323","-3.27%"
'263690,디알젬,"5,300",▲,"80","1.53%","40","-0.75%"
'049950,미래컴퍼니,"13,400",▲,"200","1.52%","400","-5.10%"
