종목코드,종목명,현재가,대비,,등락률,대금(백만),기간수익률
'011210,현대위아,"76,600",▲,"1,600","2.13%","6,405","-6.24%"
'005380,현대차,"471,000",▲,"5,500","1.18%","311,858","-4.85%"
'204320,HL만도,"48,350",▲,"550","1.15%","9,206","-5.57%"
'018880,한온시스템,"3,780",▲,"20","0.53%","15,926","-4.06%"
'012330,현대모비스,"388,500",▼,"-1,000","-0.26%","63,998","-4.90%"
'000270,기아,"150,200",▼,"-400","-0.27%","77,008","-3.59%"
'003620,KG모빌리티,"3,375",▼,"-55","-1.60%","2,363","-1.89%"
,,"",,"","","",""
,,"",,"","","",""
,,"",,"","","",""
,,"",,"","","",""
,,"",,"","","",""
,,"",,"","","",""
,,"",,"","","",""
,,"",,"","","",""
,,"",,"","","",""
,,"",,"","","",""
,,"",,"","","",""
,,"",,"","","",""
