종목코드,종목명,현재가,대비,,등락률,대금(백만),기간수익률
'0010F0,보원케미칼,"9,070",▲,"1,090","13.66%","390,222","0%"
'024740,한일단조,"3,230",▲,"290","9.86%","35,445","9.31%"
'015260,에이엔피,"644",▲,"43","7.15%","713","-4.17%"
'354320,알멕,"57,600",▲,"3,100","5.69%","13,963","24.00%"
'437730,삼현,"52,900",▲,"2,800","5.59%","14,692","6.22%"
'119500,포메탈,"3,910",▲,"205","5.53%","341","-0.26%"
'019540,일지테크,"6,480",▲,"320","5.19%","1,797","4.68%"
'101930,인화정공,"50,000",▲,"2,150","4.49%","761","0.91%"
'012210,삼미금속,"13,810",▲,"580","4.38%","3,590","10.48%"
'089470,HDC현대EP,"4,840",▲,"185","3.97%","429","-9.02%"
'458650,성우,"12,370",▲,"360","3.00%","662","-2.06%"
'010690,화신,"10,820",▲,"310","2.95%","1,036","-3.48%"
'107640,한중엔시에스,"47,250",▲,"1,350","2.94%","8,846","-8.07%"
'023800,인지컨트롤스,"6,740",▲,"190","2.90%","294","-0.30%"
'090150,아이윈,"785",▲,"22","2.88%","46","-3.80%"
'024880,케이피에프,"5,250",▲,"140","2.74%","1,266","-20.45%"
'018500,동원금속,"1,576",▲,"41","2.67%","195","-6.52%"
'019770,서연탑메탈,"3,850",▲,"100","2.67%","106","-0.77%"
'000430,대원강업,"4,055",▲,"105","2.66%","564","2.14%"
'012280,영화금속,"1,027",▲,"26","2.60%","105","-1.06%"
'010580,에스엠벡셀,"2,030",▲,"49","2.47%","731","1.00%"
'191410,육일씨엔에쓰,"2,350",▲,"55","2.40%","194","0%"
'025440,DH오토웨어,"817",▲,"19","2.38%","46","2.64%"
'091700,파트론,"7,990",▲,"180","2.30%","2,121","-4.88%"
'123410,코리아에프티,"6,730",▲,"150","2.28%","588","-6.14%"
'065500,오리엔트정공,"2,045",▲,"45","2.25%","500","-6.41%"
'011210,현대위아,"76,600",▲,"1,600","2.13%","6,405","-6.24%"
'024900,디와이덕양,"1,945",▲,"40","2.10%","164","-2.70%"
'048430,유라테크,"7,450",▲,"150","2.05%","97","-0.93%"
'011320,유니크,"3,815",▲,"75","2.01%","63","-0.26%"
