종목코드,종목명,현재가,대비,,등락률,대금(백만),기간수익률
'009150,삼성전기,"456,000",▲,"39,000","9.35%","376,528","5.07%"
'214430,아이쓰리시스템,"99,000",▲,"6,600","7.14%","5,312","6.11%"
'437730,삼현,"52,900",▲,"2,800","5.59%","14,692","6.22%"
'000660,SK하이닉스,"876,000",▲,"46,000","5.54%","2,564,699","-4.99%"
'424960,스마트레이더시스템,"6,800",▲,"310","4.78%","446","0.89%"
'005930,삼성전자,"186,200",▲,"7,800","4.37%","3,744,696","3.62%"
'017670,SK텔레콤,"80,900",▲,"3,100","3.98%","53,501","1.25%"
'097520,엠씨넥스,"21,900",▲,"800","3.79%","428","-0.90%"
'396270,넥스트칩,"3,700",▲,"125","3.50%","1,327","-7.50%"
'126700,하이비젼시스템,"16,350",▲,"550","3.48%","1,463","-4.72%"
'352910,오비고,"4,470",▲,"110","2.52%","61","-4.69%"
'317120,라닉스,"1,927",▲,"46","2.45%","81","-2.18%"
'025440,DH오토웨어,"817",▲,"19","2.38%","46","2.64%"
'123410,코리아에프티,"6,730",▲,"150","2.28%","588","-6.14%"
'088800,에이스테크,"4,000",▲,"85","2.17%","4,760","2.04%"
'298830,슈어소프트테크,"6,840",▲,"140","2.09%","1,745","-4.07%"
'370090,퓨런티어,"12,260",▲,"230","1.91%","185","-4.52%"
'082210,옵트론텍,"1,924",▲,"33","1.75%","72","-7.28%"
'056080,유진로봇,"24,650",▲,"400","1.65%","4,301","-5.92%"
'142210,유니트론텍,"5,130",▲,"80","1.58%","473","-2.47%"
'038880,아이에이,"133",▲,"2","1.53%","123","-6.34%"
'089010,켐트로닉스,"26,950",▲,"400","1.51%","1,366","-4.43%"
'087260,모바일어플라이언스,"2,045",▲,"30","1.49%","285","0.74%"
'125490,한라캐스트,"13,990",▲,"190","1.38%","7,005","-9.57%"
'464080,에스오에스랩,"14,580",▲,"190","1.32%","2,364","-6.54%"
'105550,엣지파운드리,"1,150",▲,"15","1.32%","571","-12.15%"
'054450,텔레칩스,"11,860",▲,"150","1.28%","537","-5.65%"
'094360,칩스앤미디어,"15,450",▲,"190","1.25%","677","-8.25%"
'038950,파인디지털,"3,290",▲,"40","1.23%","1","1.86%"
'005380,현대차,"471,000",▲,"5,500","1.18%","311,858","-4.85%"
