종목코드,종목명,현재가,대비,,등락률,대금(백만),기간수익률
'091580,상신이디피,"22,600",▲,"2,350","11.60%","26,766","21.57%"
'355150,코스텍시스,"25,000",▲,"2,400","10.62%","9,132","7.30%"
'024740,한일단조,"3,230",▲,"290","9.86%","35,445","9.31%"
'081150,티플랙스,"3,585",▲,"215","6.38%","29,573","6.70%"
'001820,삼화콘덴서,"56,900",▲,"3,200","5.96%","12,977","1.43%"
'259630,엠플러스,"13,050",▲,"720","5.84%","2,216","-3.05%"
'354320,알멕,"57,600",▲,"3,100","5.69%","13,963","24.00%"
'417200,LS머트리얼즈,"20,900",▲,"1,040","5.24%","68,479","9.31%"
'125210,아모그린텍,"8,230",▲,"390","4.97%","1,686","14.94%"
'115160,휴맥스,"700",▲,"30","4.48%","61","-2.10%"
'043260,성호전자,"45,950",▲,"1,950","4.43%","56,585","-0.33%"
'014910,성문전자,"1,572",▲,"63","4.17%","488","-4.73%"
'265560,영화테크,"8,570",▲,"340","4.13%","544","2.39%"
'263770,유에스티,"1,965",▲,"75","3.97%","74","1.81%"
'058430,포스코스틸리온,"47,700",▲,"1,700","3.70%","3,158","3.92%"
'140520,대창스틸,"2,130",▲,"75","3.65%","36","0.24%"
'011230,삼화전자,"2,615",▲,"90","3.56%","118","2.55%"
'003720,삼영,"7,370",▲,"250","3.51%","3,908","-3.28%"
'089980,상아프론테크,"22,600",▲,"700","3.20%","1,770","-10.67%"
'047310,파워로직스,"4,570",▲,"140","3.16%","518","-3.89%"
'243840,신흥에스이씨,"7,670",▲,"230","3.09%","5,915","2.54%"
'066970,엘앤에프,"166,400",▲,"4,800","2.97%","173,130","7.15%"
'217820,원익피앤이,"2,970",▲,"85","2.95%","548","-3.10%"
'010690,화신,"10,820",▲,"310","2.95%","1,036","-3.48%"
'107640,한중엔시에스,"47,250",▲,"1,350","2.94%","8,846","-8.07%"
'023800,인지컨트롤스,"6,740",▲,"190","2.90%","294","-0.30%"
'090150,아이윈,"785",▲,"22","2.88%","46","-3.80%"
'009470,삼화전기,"35,600",▲,"900","2.59%","1,829","-3.00%"
'013870,지엠비코리아,"4,920",▲,"120","2.50%","231","-2.96%"
'377330,이지트로닉스,"3,305",▲,"80","2.48%","56","5.76%"
