종목코드,종목명,현재가,대비,,등락률,대금(백만),기간수익률
'388050,지투파워,"12,520",▲,"1,420","12.79%","53,273","11.89%"
'042370,비츠로테크,"11,830",▲,"630","5.63%","5,870","3.41%"
'006910,보성파워텍,"9,720",▲,"500","5.42%","22,336","-4.52%"
'294630,서남,"3,920",▲,"195","5.23%","1,493","2.75%"
'189860,서전기전,"5,330",▲,"220","4.31%","1,840","-11.46%"
'125020,티씨머티리얼즈,"4,670",▲,"180","4.01%","2,144","-3.01%"
'017040,광명전기,"954",▲,"35","3.81%","475","-6.93%"
'000500,가온전선,"104,200",▲,"3,800","3.78%","1,594","-4.67%"
'130660,한전산업,"18,580",▲,"610","3.39%","4,769","-2.93%"
'051600,한전KPS,"57,200",▲,"1,800","3.25%","7,077","-3.05%"
'034020,두산에너빌리티,"96,600",▲,"3,000","3.21%","243,450","-1.53%"
'036190,금화피에스시,"38,100",▲,"1,150","3.11%","333","2.01%"
'060370,LS마린솔루션,"30,000",▲,"800","2.74%","17,138","5.63%"
'479960,위너스,"9,850",▲,"260","2.71%","58","-1.30%"
'017510,세명전기,"9,000",▲,"230","2.62%","1,081","-3.33%"
'038460,바이오스마트,"4,100",▲,"95","2.37%","478","-2.38%"
'229640,LS에코에너지,"43,850",▲,"950","2.21%","5,045","-1.02%"
'147830,제룡산업,"7,400",▲,"160","2.21%","1,046","-2.12%"
'006340,대원전선,"5,330",▲,"110","2.11%","11,451","1.14%"
'033100,제룡전기,"44,600",▲,"900","2.06%","3,022","-5.21%"
'001440,대한전선,"29,200",▲,"550","1.92%","48,665","3.36%"
'237750,피앤씨테크,"4,610",▲,"85","1.88%","59","-3.05%"
'298040,효성중공업,"2,560,000",▲,"42,000","1.67%","70,349","-4.33%"
'103590,일진전기,"71,000",▲,"1,100","1.57%","8,539","-5.46%"
'006260,LS,"268,000",▲,"3,500","1.32%","25,454","0%"
'010120,LS ELECTRIC,"769,000",▲,"10,000","1.32%","76,373","-4.00%"
'119850,지엔씨에너지,"31,250",▲,"350","1.13%","1,759","-5.87%"
'062040,산일전기,"133,600",▲,"1,100","0.83%","46,437","-10.52%"
'199820,제일일렉트릭,"10,120",▲,"40","0.40%","2,176","-4.80%"
'267260,HD현대일렉트릭,"883,000",▲,"1,000","0.11%","73,071","-3.50%"
