종목코드,종목명,현재가,대비,,등락률,대금(백만),기간수익률
'024840,KBI메탈,"2,175",▲,"90","4.32%","794","0.69%"
'000500,가온전선,"104,200",▲,"3,800","3.78%","1,594","-4.67%"
'060370,LS마린솔루션,"30,000",▲,"800","2.74%","17,138","5.63%"
'229640,LS에코에너지,"43,850",▲,"950","2.21%","5,045","-1.02%"
'006340,대원전선,"5,330",▲,"110","2.11%","11,451","1.14%"
'001440,대한전선,"29,200",▲,"550","1.92%","48,665","3.36%"
'103590,일진전기,"71,000",▲,"1,100","1.57%","8,539","-5.46%"
'006260,LS,"268,000",▲,"3,500","1.32%","25,454","0%"
,,"",,"","","",""
,,"",,"","","",""
,,"",,"","","",""
,,"",,"","","",""
,,"",,"","","",""
,,"",,"","","",""
,,"",,"","","",""
,,"",,"","","",""
,,"",,"","","",""
,,"",,"","","",""
,,"",,"","","",""
