종목코드,종목명,현재가,대비,,등락률,대금(백만),기간수익률
'000250,삼천당제약,"648,000",▲,"39,000","6.40%","388,391","-41.67%"
'234690,녹십자웰빙,"14,800",▲,"840","6.02%","14,330","0.89%"
'214390,경보제약,"7,430",▲,"310","4.35%","13,953","-7.70%"
'003000,부광약품,"8,380",▲,"330","4.10%","13,759","-12.71%"
'067290,JW신약,"2,000",▲,"131","7.01%","10,093","0%"
'004310,현대약품,"8,650",▲,"240","2.85%","4,663","-5.57%"
'307750,국전약품,"3,880",▲,"50","1.31%","1,806","-15.93%"
'009290,광동제약,"8,310",▲,"180","2.21%","1,703","-6.42%"
'330350,위더스제약,"8,440",▲,"170","2.06%","1,497","1.08%"
'047920,HLB제약,"16,430",▲,"400","2.50%","1,371","1.11%"
'007570,일양약품,"12,140",▲,"740","6.49%","1,315","-6.40%"
'053950,경남제약,"800",▲,"23","2.96%","1,110","-3.96%"
'041910,폴라리스AI파마,"6,970",▲,"90","1.31%","1,014","-6.44%"
'003850,보령,"9,130",▲,"90","1.00%","931","-5.39%"
'066700,테라젠이텍스,"2,915",▲,"95","3.37%","821","3.37%"
'002720,국제약품,"4,865",▲,"145","3.07%","661","-5.17%"
'054670,대한뉴팜,"7,020",▲,"130","1.89%","528","-3.31%"
'033270,유나이티드제약,"20,000",▲,"200","1.01%","381","-3.38%"
'102460,이연제약,"10,070",▲,"110","1.10%","335","-0.10%"
'114450,그린생명과학,"2,640",▲,"55","2.13%","290","-3.12%"
'002800,신신제약,"5,480",▲,"110","2.05%","279","-2.14%"
'204840,지엘팜텍,"1,053",▲,"31","3.03%","211","-2.86%"
'334970,프레스티지바이오로직스,"2,380",▲,"30","1.28%","138","-3.45%"
'000220,유유제약,"4,120",▲,"65","1.60%","136","-5.29%"
'001540,안국약품,"7,780",▲,"80","1.04%","122","-2.63%"
'314140,알피바이오,"6,080",▲,"80","1.33%","116","-5.15%"
'005500,삼진제약,"18,150",▲,"200","1.11%","111","-2.10%"
'260660,알리코제약,"3,460",▲,"100","2.98%","82","-0.86%"
'007370,진양제약,"4,415",▲,"45","1.03%","67","-5.16%"
'200780,비씨월드제약,"4,585",▲,"45","0.99%","21","-4.88%"
