종목코드,종목명,현재가,대비,,등락률,대금(백만),기간수익률
'329180,HD현대중공업,"479,500",▲,"40,500","9.23%","352,588","-3.81%"
'097230,HJ중공업,"24,350",▲,"1,700","7.51%","32,093","-0.81%"
'439260,대한조선,"94,100",▲,"6,500","7.42%","23,336","9.80%"
'042660,한화오션,"128,000",▲,"8,700","7.29%","163,756","3.90%"
'009540,HD한국조선해양,"375,000",▲,"24,500","6.99%","100,153","2.18%"
'010140,삼성중공업,"27,900",▲,"1,000","3.72%","123,836","7.31%"
'023790,동일스틸럭스,"983",▼,"-56","-5.39%","2,501","10.33%"
,,"",,"","","",""
,,"",,"","","",""
,,"",,"","","",""
,,"",,"","","",""
,,"",,"","","",""
,,"",,"","","",""
,,"",,"","","",""
,,"",,"","","",""
,,"",,"","","",""
,,"",,"","","",""
,,"",,"","","",""
,,"",,"","","",""
