종목코드,종목명,현재가,대비,,등락률,대금(백만),기간수익률
'044490,태웅,"50,700",▲,"6,350","14.32%","52,744","7.99%"
'077970,STX엔진,"36,200",▲,"4,350","13.66%","19,251","8.06%"
'017960,한국카본,"45,000",▲,"5,400","13.64%","47,845","11.11%"
'355690,에이텀,"5,730",▲,"510","9.77%","13,364","12.57%"
'023160,태광,"41,350",▲,"3,600","9.54%","38,089","19.34%"
'014620,성광벤드,"39,600",▲,"3,400","9.39%","32,226","19.46%"
'033500,동성화인텍,"25,850",▲,"2,150","9.07%","10,241","10.94%"
'075580,세진중공업,"17,340",▲,"1,440","9.06%","6,612","1.40%"
'071970,HD현대마린엔진,"75,800",▲,"5,800","8.29%","17,193","-1.17%"
'382900,범한퓨얼셀,"28,550",▲,"2,050","7.74%","1,910","1.42%"
'013030,하이록코리아,"38,050",▲,"2,600","7.33%","4,010","2.70%"
'073010,케이에스피,"3,520",▲,"225","6.83%","825","0.28%"
'100090,SK오션플랜트,"30,200",▲,"1,850","6.53%","304,134","12.48%"
'333430,일승,"5,640",▲,"330","6.21%","1,770","5.03%"
'014940,오리엔탈정공,"6,590",▲,"380","6.12%","931","0.30%"
'092460,한라IMS,"15,360",▲,"840","5.79%","1,086","0.85%"
'099410,동방선기,"4,860",▲,"260","5.65%","603","-3.19%"
'054540,삼영엠텍,"11,090",▲,"590","5.62%","1,486","-0.89%"
'082740,한화엔진,"45,700",▲,"2,350","5.42%","18,459","-2.04%"
'085310,엔케이,"1,117",▲,"54","5.08%","548","2.76%"
'443060,HD현대마린솔루션,"178,400",▲,"8,200","4.82%","10,668","-2.99%"
'086670,비엠티,"15,010",▲,"670","4.67%","1,532","-3.10%"
'101930,인화정공,"50,000",▲,"2,150","4.49%","761","0.91%"
'012210,삼미금속,"13,810",▲,"580","4.38%","3,590","10.48%"
'096350,대창솔루션,"3,100",▲,"130","4.38%","3,570","-5.63%"
'108380,대양전기공업,"25,450",▲,"950","3.88%","634","-3.05%"
'460930,현대힘스,"18,600",▲,"660","3.68%","6,817","-1.38%"
'064820,케이프,"10,410",▲,"360","3.58%","690","-0.95%"
'217590,티엠씨,"20,450",▲,"650","3.28%","10,361","-1.68%"
'413630,씨피시스템,"3,565",▲,"100","2.89%","434","-1.79%"
