종목코드,종목명,현재가,대비,,등락률,대금(백만),기간수익률
'001250,GS글로벌,"3,170",▲,"575","22.16%","89,318","22.63%"
'003070,코오롱글로벌,"11,540",▲,"960","9.07%","2,116","6.85%"
'047050,포스코인터내셔널,"85,100",▲,"5,600","7.04%","150,530","14.23%"
'011760,현대코퍼레이션,"26,150",▲,"1,200","4.81%","1,458","0%"
'298020,효성티앤씨,"376,000",▲,"9,500","2.59%","11,796","-6.35%"
'028260,삼성물산,"263,000",▼,"-1,000","-0.38%","68,796","-2.23%"
'001120,LX인터내셔널,"53,100",▼,"-300","-0.56%","15,015","14.44%"
'001740,SK네트웍스,"5,220",▼,"-200","-3.69%","9,518","-2.61%"
,,"",,"","","",""
,,"",,"","","",""
,,"",,"","","",""
,,"",,"","","",""
,,"",,"","","",""
,,"",,"","","",""
,,"",,"","","",""
,,"",,"","","",""
,,"",,"","","",""
,,"",,"","","",""
,,"",,"","","",""
