종목코드,종목명,현재가,대비,,등락률,대금(백만),기간수익률
'001510,SK증권,"1,977",▲,"65","3.40%","93,632","-4.49%"
'003530,한화투자증권,"6,720",▲,"210","3.23%","9,711","-6.54%"
'003540,대신증권,"36,100",▲,"1,000","2.85%","1,675","-4.62%"
'003460,유화증권,"3,310",▲,"85","2.64%","287","-11.02%"
'001290,상상인증권,"1,083",▲,"27","2.56%","884","-8.06%"
'006800,미래에셋증권,"63,100",▲,"1,500","2.44%","141,299","-5.96%"
'030610,교보증권,"11,660",▲,"260","2.28%","586","-10.58%"
'001500,현대차증권,"10,030",▲,"200","2.03%","1,688","-7.98%"
'039490,키움증권,"412,000",▲,"8,000","1.98%","24,592","-5.29%"
'001200,유진투자증권,"4,500",▲,"85","1.93%","1,985","-9.27%"
'078020,LS증권,"6,820",▲,"120","1.79%","511","-3.26%"
'190650,코리아에셋투자증권,"8,120",▲,"140","1.75%","61","-3.22%"
'003470,유안타증권,"4,505",▲,"55","1.24%","1,436","-9.90%"
'016610,DB증권,"12,120",▲,"140","1.17%","943","-10.55%"
'001720,신영증권,"187,500",▲,"1,900","1.02%","2,801","-8.98%"
'001270,부국증권,"72,100",▲,"700","0.98%","1,205","-4.88%"
'016360,삼성증권,"93,400",▲,"800","0.86%","19,960","-4.30%"
'001750,한양증권,"25,050",▲,"200","0.80%","332","-7.56%"
'005940,NH투자증권,"29,950",▲,"200","0.67%","16,115","-12.55%"
'030210,다올투자증권,"3,920",▲,"20","0.51%","267","-4.74%"
'071050,한국금융지주,"212,000",▼,"-1,500","-0.70%","41,284","-3.64%"
