종목코드,종목명,현재가,대비,,등락률,대금(백만),기간수익률
'065770,CS,"1,440",↑,"332","29.96%","3,625","54.01%"
'388050,지투파워,"12,520",▲,"1,420","12.79%","53,273","11.89%"
'052860,아이앤씨,"4,990",▲,"400","8.71%","1,293","14.19%"
'001820,삼화콘덴서,"56,900",▲,"3,200","5.96%","12,977","1.43%"
'082920,비츠로셀,"40,650",▲,"1,950","5.04%","39,547","16.98%"
'125210,아모그린텍,"8,230",▲,"390","4.97%","1,686","14.94%"
'040160,누리플렉스,"10,430",▲,"490","4.93%","1,935","-0.86%"
'189860,서전기전,"5,330",▲,"220","4.31%","1,840","-11.46%"
'130660,한전산업,"18,580",▲,"610","3.39%","4,769","-2.93%"
'015710,코콤,"3,810",▲,"75","2.01%","146","-1.30%"
'237750,피앤씨테크,"4,610",▲,"85","1.88%","59","-3.05%"
'103590,일진전기,"71,000",▲,"1,100","1.57%","8,539","-5.46%"
'010120,LS ELECTRIC,"769,000",▲,"10,000","1.32%","76,373","-4.00%"
'022100,포스코DX,"30,500",▲,"350","1.16%","6,723","-0.16%"
'006490,인스코비,"440",▲,"5","1.15%","15,214","82.57%"
'015860,일진홀딩스,"6,750",▲,"50","0.75%","369","-4.66%"
'002230,피에스텍,"9,370",▲,"60","0.64%","1,194","2.29%"
'057540,옴니시스템,"804",▲,"4","0.50%","43","-3.71%"
'054220,비츠로시스,"514",▼,"-4","-0.77%","505","-9.03%"
'099440,스맥,"4,545",▼,"-45","-0.98%","3,293","-8.37%"
