종목코드,종목명,현재가,대비,,등락률,대금(백만),기간수익률
'010060,OCI홀딩스,"229,500",▲,"24,500","11.95%","111,928","28.36%"
'063080,컴투스홀딩스,"18,020",▲,"1,310","7.84%","2,335","0.11%"
'042370,비츠로테크,"11,830",▲,"630","5.63%","5,870","3.41%"
'000150,두산,"1,071,000",▲,"50,000","4.90%","52,693","-10.97%"
'016450,한세예스24홀딩스,"4,305",▲,"165","3.99%","156","-12.50%"
'001430,세아베스틸지주,"67,300",▲,"2,500","3.86%","7,402","-3.17%"
'004840,DRB동일,"5,310",▲,"190","3.71%","193","-2.03%"
'005810,풍산홀딩스,"36,350",▲,"1,300","3.71%","882","2.83%"
'001230,동국홀딩스,"10,330",▲,"360","3.61%","1,705","3.61%"
'039020,이건홀딩스,"3,200",▲,"110","3.56%","185","-0.31%"
'012030,DB,"1,650",▲,"51","3.19%","768","-3.34%"
'006840,AK홀딩스,"8,270",▲,"250","3.12%","58","0.98%"
'402340,SK스퀘어,"483,000",▲,"13,500","2.88%","219,101","-11.21%"
'096760,JW홀딩스,"4,030",▲,"105","2.68%","302","-7.57%"
'036530,SNT홀딩스,"58,200",▲,"1,500","2.65%","652","-6.43%"
'003480,한진중공업홀딩스,"4,720",▲,"120","2.61%","497","-3.48%"
'383800,LX홀딩스,"8,100",▲,"200","2.53%","877","-2.53%"
'000880,한화,"113,700",▲,"2,800","2.52%","22,868","1.97%"
'000590,CS홀딩스,"75,800",▲,"1,800","2.43%","45","-2.70%"
'229640,LS에코에너지,"43,850",▲,"950","2.21%","5,045","-1.02%"
'900140,엘브이엠씨홀딩스,"1,584",▲,"34","2.19%","1,057","-4.41%"
'072470,우리산업홀딩스,"3,490",▲,"70","2.05%","100","-7.06%"
'003550,LG,"86,500",▲,"1,700","2.00%","15,511","-2.81%"
'092230,KPX홀딩스,"81,600",▲,"1,600","2.00%","105","-0.37%"
'034310,NICE,"13,280",▲,"260","2.00%","534","-5.68%"
'005250,녹십자홀딩스,"13,790",▲,"260","1.92%","643","-3.30%"
'487570,HS효성,"54,200",▲,"1,000","1.88%","292","-3.21%"
'017810,풀무원,"12,020",▲,"220","1.86%","528","-0.74%"
'002030,아세아,"277,000",▲,"5,000","1.84%","445","-0.54%"
'123040,엠에스오토텍,"2,250",▲,"40","1.81%","185","2.51%"
