종목코드,종목명,현재가,대비,,등락률,대금(백만),기간수익률
'306200,세아제강,"147,600",▲,"11,100","8.13%","9,854","14.24%"
'084010,대한제강,"10,840",▲,"800","7.97%","2,457","2.94%"
'460860,동국제강,"9,150",▲,"380","4.33%","2,989","-1.19%"
'001430,세아베스틸지주,"67,300",▲,"2,500","3.86%","7,402","-3.17%"
'058430,포스코스틸리온,"47,700",▲,"1,700","3.70%","3,158","3.92%"
'104700,한국철강,"9,390",▲,"300","3.30%","4,403","2.29%"
'004020,현대제철,"34,250",▲,"800","2.39%","38,916","-2.14%"
'460850,동국씨엠,"5,290",▲,"100","1.93%","271","-10.03%"
'005490,POSCO홀딩스,"347,500",▲,"6,500","1.91%","123,947","1.31%"
'016380,KG스틸,"5,220",▲,"60","1.16%","1,598","-8.10%"
'002240,고려제강,"21,150",▲,"200","0.95%","304","-1.17%"
,,"",,"","","",""
,,"",,"","","",""
,,"",,"","","",""
,,"",,"","","",""
,,"",,"","","",""
,,"",,"","","",""
,,"",,"","","",""
,,"",,"","","",""
