종목코드,종목명,현재가,대비,,등락률,대금(백만),기간수익률
'009150,삼성전기,"456,000",▲,"39,000","9.35%","376,528","5.07%"
'123010,알엔티엑스,"1,195",▲,"68","6.03%","1,575","4.46%"
'081580,성우전자,"3,095",▲,"120","4.03%","354","8.79%"
'097520,엠씨넥스,"21,900",▲,"800","3.79%","428","-0.90%"
'126700,하이비젼시스템,"16,350",▲,"550","3.48%","1,463","-4.72%"
'047310,파워로직스,"4,570",▲,"140","3.16%","518","-3.89%"
'076610,해성옵틱스,"1,435",▲,"37","2.65%","2,995","-12.45%"
'300120,라온피플,"1,000",▲,"24","2.46%","194","-8.00%"
'091700,파트론,"7,990",▲,"180","2.30%","2,121","-4.88%"
'263600,덕우전자,"5,140",▲,"100","1.98%","226","-1.72%"
'370090,퓨런티어,"12,260",▲,"230","1.91%","185","-4.52%"
'082210,옵트론텍,"1,924",▲,"33","1.75%","72","-7.28%"
'049630,재영솔루텍,"2,775",▲,"40","1.46%","4,189","-2.63%"
'065130,탑엔지니어링,"3,035",▲,"25","0.83%","25","-1.14%"
'053450,세코닉스,"5,030",▲,"35","0.70%","146","-3.82%"
'033240,자화전자,"34,400",▲,"200","0.58%","4,614","-5.10%"
'225190,LK삼양,"1,866",▲,"10","0.54%","1,229","-7.62%"
'190510,나무가,"16,440",▲,"60","0.37%","553","-4.59%"
'087600,픽셀플러스,"6,080",▲,"10","0.16%","26","-4.10%"
'106080,케이이엠텍,"330", ,"0","0%","0","0%"
'208710,포톤,"2,005", ,"0","0%","27","0.70%"
'196450,코아시아씨엠,"1,403",▼,"-8","-0.57%","194","0.14%"
'094170,동운아나텍,"29,000",▼,"-200","-0.68%","2,919","-5.38%"
'290740,액트로,"17,010",▼,"-170","-0.99%","1,747","-12.18%"
'011070,LG이노텍,"324,500",▼,"-4,000","-1.22%","92,409","1.25%"
'050110,캠시스,"1,833",▼,"-24","-1.29%","309","-5.86%"
'271830,팸텍,"1,443",▼,"-20","-1.37%","93","-9.19%"
'0011A0,액스비스,"25,250",▼,"-1,150","-4.36%","6,935","7.22%"
